,Number of Occurrences,xl,Event,Method
0,84,10.0,good_A,Supervisory+RL
1,85,10.0,good_A,Supervisory
2,75,20.0,good_A,Supervisory+RL
3,78,20.0,good_A,Supervisory
4,83,30.000000000000004,good_A,Supervisory+RL
5,68,30.000000000000004,good_A,Supervisory
6,77,40.0,good_A,Supervisory+RL
7,58,40.0,good_A,Supervisory
8,55,50.0,good_A,Supervisory+RL
9,54,50.0,good_A,Supervisory
10,75,60.0,good_A,Supervisory+RL
11,37,60.0,good_A,Supervisory
12,82,70.0,good_A,Supervisory+RL
13,27,70.0,good_A,Supervisory
14,48,80.0,good_A,Supervisory+RL
15,30,80.0,good_A,Supervisory
16,50,90.0,good_A,Supervisory+RL
17,15,90.0,good_A,Supervisory
18,270,10.0,good_B,Supervisory+RL
19,182,10.0,good_B,Supervisory
20,253,20.0,good_B,Supervisory+RL
21,181,20.0,good_B,Supervisory
22,279,30.000000000000004,good_B,Supervisory+RL
23,184,30.000000000000004,good_B,Supervisory
24,261,40.0,good_B,Supervisory+RL
25,180,40.0,good_B,Supervisory
26,283,50.0,good_B,Supervisory+RL
27,185,50.0,good_B,Supervisory
28,246,60.0,good_B,Supervisory+RL
29,182,60.0,good_B,Supervisory
30,230,70.0,good_B,Supervisory+RL
31,189,70.0,good_B,Supervisory
32,255,80.0,good_B,Supervisory+RL
33,188,80.0,good_B,Supervisory
34,242,90.0,good_B,Supervisory+RL
35,170,90.0,good_B,Supervisory
36,84,10.0,good_A,Supervisory+RL
37,85,10.0,good_A,Supervisory
38,75,20.0,good_A,Supervisory+RL
39,78,20.0,good_A,Supervisory
40,83,30.000000000000004,good_A,Supervisory+RL
41,68,30.000000000000004,good_A,Supervisory
42,77,40.0,good_A,Supervisory+RL
43,58,40.0,good_A,Supervisory
44,55,50.0,good_A,Supervisory+RL
45,54,50.0,good_A,Supervisory
46,75,60.0,good_A,Supervisory+RL
47,37,60.0,good_A,Supervisory
48,82,70.0,good_A,Supervisory+RL
49,27,70.0,good_A,Supervisory
50,48,80.0,good_A,Supervisory+RL
51,30,80.0,good_A,Supervisory
52,50,90.0,good_A,Supervisory+RL
53,15,90.0,good_A,Supervisory
54,270,10.0,good_B,Supervisory+RL
55,182,10.0,good_B,Supervisory
56,253,20.0,good_B,Supervisory+RL
57,181,20.0,good_B,Supervisory
58,279,30.000000000000004,good_B,Supervisory+RL
59,184,30.000000000000004,good_B,Supervisory
60,261,40.0,good_B,Supervisory+RL
61,180,40.0,good_B,Supervisory
62,283,50.0,good_B,Supervisory+RL
63,185,50.0,good_B,Supervisory
64,246,60.0,good_B,Supervisory+RL
65,182,60.0,good_B,Supervisory
66,230,70.0,good_B,Supervisory+RL
67,189,70.0,good_B,Supervisory
68,255,80.0,good_B,Supervisory+RL
69,188,80.0,good_B,Supervisory
70,242,90.0,good_B,Supervisory+RL
71,170,90.0,good_B,Supervisory
