,yl,xl,method
0,197640,10.0,Supervisory+RL
1,168680,10.0,Supervisory+RL
2,16000,10.0,Supervisory+RL
3,197660,10.0,Supervisory+RL
4,98550,10.0,Supervisory+RL
5,208620,10.0,Supervisory+RL
6,157670,10.0,Supervisory+RL
7,228460,10.0,Supervisory+RL
8,8710,10.0,Supervisory+RL
9,198390,10.0,Supervisory+RL
10,107610,10.0,Supervisory+RL
11,128540,10.0,Supervisory+RL
12,48570,10.0,Supervisory+RL
13,-31360,10.0,Supervisory+RL
14,37650,10.0,Supervisory+RL
15,68440,10.0,Supervisory+RL
16,88600,10.0,Supervisory+RL
17,138600,10.0,Supervisory+RL
18,58540,10.0,Supervisory+RL
19,88570,10.0,Supervisory+RL
20,118570,10.0,Supervisory+RL
21,148580,10.0,Supervisory+RL
22,188440,10.0,Supervisory+RL
23,17800,10.0,Supervisory+RL
24,-41300,10.0,Supervisory+RL
25,117550,10.0,Supervisory+RL
26,228470,10.0,Supervisory+RL
27,128550,10.0,Supervisory+RL
28,148520,10.0,Supervisory+RL
29,197680,10.0,Supervisory+RL
30,136770,10.0,Supervisory+RL
31,67790,10.0,Supervisory+RL
32,107710,10.0,Supervisory+RL
33,48530,10.0,Supervisory+RL
34,126830,10.0,Supervisory+RL
35,168680,10.0,Supervisory+RL
36,-1400,10.0,Supervisory+RL
37,178620,10.0,Supervisory+RL
38,68610,10.0,Supervisory+RL
39,58520,10.0,Supervisory+RL
40,-2260,10.0,Supervisory+RL
41,84910,10.0,Supervisory+RL
42,148610,10.0,Supervisory+RL
43,87590,10.0,Supervisory+RL
44,218490,10.0,Supervisory+RL
45,77710,10.0,Supervisory+RL
46,97800,10.0,Supervisory+RL
47,138550,10.0,Supervisory+RL
48,108490,10.0,Supervisory+RL
49,-41300,10.0,Supervisory+RL
50,147760,20.0,Supervisory+RL
51,77740,20.0,Supervisory+RL
52,78470,20.0,Supervisory+RL
53,77740,20.0,Supervisory+RL
54,67650,20.0,Supervisory+RL
55,88630,20.0,Supervisory+RL
56,-3240,20.0,Supervisory+RL
57,58620,20.0,Supervisory+RL
58,107620,20.0,Supervisory+RL
59,-32180,20.0,Supervisory+RL
60,107610,20.0,Supervisory+RL
61,65960,20.0,Supervisory+RL
62,57760,20.0,Supervisory+RL
63,98460,20.0,Supervisory+RL
64,148490,20.0,Supervisory+RL
65,58590,20.0,Supervisory+RL
66,107800,20.0,Supervisory+RL
67,127680,20.0,Supervisory+RL
68,67680,20.0,Supervisory+RL
69,47700,20.0,Supervisory+RL
70,178470,20.0,Supervisory+RL
71,167660,20.0,Supervisory+RL
72,55750,20.0,Supervisory+RL
73,208530,20.0,Supervisory+RL
74,128680,20.0,Supervisory+RL
75,157670,20.0,Supervisory+RL
76,117710,20.0,Supervisory+RL
77,178530,20.0,Supervisory+RL
78,118590,20.0,Supervisory+RL
79,87580,20.0,Supervisory+RL
80,48590,20.0,Supervisory+RL
81,136740,20.0,Supervisory+RL
82,118650,20.0,Supervisory+RL
83,8710,20.0,Supervisory+RL
84,77680,20.0,Supervisory+RL
85,107680,20.0,Supervisory+RL
86,128560,20.0,Supervisory+RL
87,27780,20.0,Supervisory+RL
88,146750,20.0,Supervisory+RL
89,56740,20.0,Supervisory+RL
90,47770,20.0,Supervisory+RL
91,77670,20.0,Supervisory+RL
92,198430,20.0,Supervisory+RL
93,67870,20.0,Supervisory+RL
94,57710,20.0,Supervisory+RL
95,67750,20.0,Supervisory+RL
96,-3190,20.0,Supervisory+RL
97,67620,20.0,Supervisory+RL
98,38590,20.0,Supervisory+RL
99,27700,20.0,Supervisory+RL
100,98480,30.000000000000004,Supervisory+RL
101,157640,30.000000000000004,Supervisory+RL
102,157540,30.000000000000004,Supervisory+RL
103,106710,30.000000000000004,Supervisory+RL
104,178470,30.000000000000004,Supervisory+RL
105,176810,30.000000000000004,Supervisory+RL
106,38550,30.000000000000004,Supervisory+RL
107,96730,30.000000000000004,Supervisory+RL
108,88470,30.000000000000004,Supervisory+RL
109,97690,30.000000000000004,Supervisory+RL
110,218510,30.000000000000004,Supervisory+RL
111,168570,30.000000000000004,Supervisory+RL
112,78540,30.000000000000004,Supervisory+RL
113,158480,30.000000000000004,Supervisory+RL
114,128680,30.000000000000004,Supervisory+RL
115,47610,30.000000000000004,Supervisory+RL
116,168650,30.000000000000004,Supervisory+RL
117,58590,30.000000000000004,Supervisory+RL
118,126770,30.000000000000004,Supervisory+RL
119,146740,30.000000000000004,Supervisory+RL
