,Number of Occurrences,xl,Event,Method
0,71,30.0,good_A,Supervisory+RL
1,70,30.0,good_A,Supervisory
2,49,30.0,good_A,Supervisory+RL
3,58,30.0,good_A,Supervisory
4,49,30.0,good_A,Supervisory+RL
5,72,30.0,good_A,Supervisory
6,74,30.0,good_A,Supervisory+RL
7,78,30.0,good_A,Supervisory
8,51,30.0,good_A,Supervisory+RL
9,70,30.0,good_A,Supervisory
10,51,30.0,good_A,Supervisory+RL
11,84,30.0,good_A,Supervisory
12,50,30.0,good_A,Supervisory+RL
13,73,30.0,good_A,Supervisory
14,50,30.0,good_A,Supervisory+RL
15,75,30.0,good_A,Supervisory
16,65,30.0,good_A,Supervisory+RL
17,67,30.0,good_A,Supervisory
18,354,30.0,good_B,Supervisory+RL
19,326,30.0,good_B,Supervisory
20,382,30.0,good_B,Supervisory+RL
21,330,30.0,good_B,Supervisory
22,383,30.0,good_B,Supervisory+RL
23,348,30.0,good_B,Supervisory
24,362,30.0,good_B,Supervisory+RL
25,310,30.0,good_B,Supervisory
26,373,30.0,good_B,Supervisory+RL
27,325,30.0,good_B,Supervisory
28,380,30.0,good_B,Supervisory+RL
29,312,30.0,good_B,Supervisory
30,379,30.0,good_B,Supervisory+RL
31,322,30.0,good_B,Supervisory
32,379,30.0,good_B,Supervisory+RL
33,315,30.0,good_B,Supervisory
34,371,30.0,good_B,Supervisory+RL
35,309,30.0,good_B,Supervisory
36,71,30.0,good_A,Supervisory+RL
37,70,30.0,good_A,Supervisory
38,49,30.0,good_A,Supervisory+RL
39,58,30.0,good_A,Supervisory
40,49,30.0,good_A,Supervisory+RL
41,72,30.0,good_A,Supervisory
42,74,30.0,good_A,Supervisory+RL
43,78,30.0,good_A,Supervisory
44,51,30.0,good_A,Supervisory+RL
45,70,30.0,good_A,Supervisory
46,51,30.0,good_A,Supervisory+RL
47,84,30.0,good_A,Supervisory
48,50,30.0,good_A,Supervisory+RL
49,73,30.0,good_A,Supervisory
50,50,30.0,good_A,Supervisory+RL
51,75,30.0,good_A,Supervisory
52,65,30.0,good_A,Supervisory+RL
53,67,30.0,good_A,Supervisory
54,354,30.0,good_B,Supervisory+RL
55,326,30.0,good_B,Supervisory
56,382,30.0,good_B,Supervisory+RL
57,330,30.0,good_B,Supervisory
58,383,30.0,good_B,Supervisory+RL
59,348,30.0,good_B,Supervisory
60,362,30.0,good_B,Supervisory+RL
61,310,30.0,good_B,Supervisory
62,373,30.0,good_B,Supervisory+RL
63,325,30.0,good_B,Supervisory
64,380,30.0,good_B,Supervisory+RL
65,312,30.0,good_B,Supervisory
66,379,30.0,good_B,Supervisory+RL
67,322,30.0,good_B,Supervisory
68,379,30.0,good_B,Supervisory+RL
69,315,30.0,good_B,Supervisory
70,371,30.0,good_B,Supervisory+RL
71,309,30.0,good_B,Supervisory
