,yl,xl,method
0,88590,30.0,Supervisory+RL
1,17820,30.0,Supervisory+RL
2,178560,30.0,Supervisory+RL
3,208650,30.0,Supervisory+RL
4,178550,30.0,Supervisory+RL
5,167570,30.0,Supervisory+RL
6,218560,30.0,Supervisory+RL
7,178500,30.0,Supervisory+RL
8,188600,30.0,Supervisory+RL
9,138460,30.0,Supervisory+RL
10,126710,30.0,Supervisory+RL
11,147620,30.0,Supervisory+RL
12,208570,30.0,Supervisory+RL
13,147760,30.0,Supervisory+RL
14,168560,30.0,Supervisory+RL
15,168580,30.0,Supervisory+RL
16,218570,30.0,Supervisory+RL
17,228490,30.0,Supervisory+RL
18,86780,30.0,Supervisory+RL
19,128520,30.0,Supervisory+RL
20,208580,30.0,Supervisory+RL
21,97750,30.0,Supervisory+RL
22,178590,30.0,Supervisory+RL
23,117640,30.0,Supervisory+RL
24,118690,30.0,Supervisory+RL
25,178590,30.0,Supervisory+RL
26,178600,30.0,Supervisory+RL
27,187740,30.0,Supervisory+RL
28,78650,30.0,Supervisory+RL
29,147610,30.0,Supervisory+RL
30,218540,30.0,Supervisory+RL
31,218550,30.0,Supervisory+RL
32,168640,30.0,Supervisory+RL
33,218540,30.0,Supervisory+RL
34,197570,30.0,Supervisory+RL
35,118600,30.0,Supervisory+RL
36,228480,30.0,Supervisory+RL
37,228590,30.0,Supervisory+RL
38,88620,30.0,Supervisory+RL
39,187740,30.0,Supervisory+RL
40,148590,30.0,Supervisory+RL
41,187740,30.0,Supervisory+RL
42,128640,30.0,Supervisory+RL
43,187680,30.0,Supervisory+RL
44,48680,30.0,Supervisory+RL
45,78650,30.0,Supervisory+RL
46,137690,30.0,Supervisory+RL
47,187610,30.0,Supervisory+RL
48,88570,30.0,Supervisory+RL
49,228480,30.0,Supervisory+RL
50,114310,30.0,Supervisory+RL
51,166020,30.0,Supervisory+RL
52,128750,30.0,Supervisory+RL
53,116110,30.0,Supervisory+RL
54,198710,30.0,Supervisory+RL
55,197550,30.0,Supervisory+RL
56,158720,30.0,Supervisory+RL
57,168600,30.0,Supervisory+RL
58,136900,30.0,Supervisory+RL
59,116130,30.0,Supervisory+RL
60,177820,30.0,Supervisory+RL
61,168650,30.0,Supervisory+RL
62,168640,30.0,Supervisory+RL
63,178520,30.0,Supervisory+RL
64,97830,30.0,Supervisory+RL
65,166080,30.0,Supervisory+RL
66,95260,30.0,Supervisory+RL
67,198700,30.0,Supervisory+RL
68,178520,30.0,Supervisory+RL
69,97790,30.0,Supervisory+RL
70,166680,30.0,Supervisory+RL
71,138600,30.0,Supervisory+RL
72,137810,30.0,Supervisory+RL
73,138620,30.0,Supervisory+RL
74,218560,30.0,Supervisory+RL
75,178580,30.0,Supervisory+RL
76,128670,30.0,Supervisory+RL
77,168620,30.0,Supervisory+RL
78,218570,30.0,Supervisory+RL
79,218500,30.0,Supervisory+RL
80,155090,30.0,Supervisory+RL
81,218550,30.0,Supervisory+RL
82,158730,30.0,Supervisory+RL
83,208650,30.0,Supervisory+RL
84,118730,30.0,Supervisory+RL
85,168640,30.0,Supervisory+RL
86,126100,30.0,Supervisory+RL
87,128690,30.0,Supervisory+RL
88,218560,30.0,Supervisory+RL
89,128660,30.0,Supervisory+RL
90,228360,30.0,Supervisory+RL
91,73540,30.0,Supervisory+RL
92,208660,30.0,Supervisory+RL
93,128670,30.0,Supervisory+RL
94,208570,30.0,Supervisory+RL
95,118710,30.0,Supervisory+RL
96,158620,30.0,Supervisory+RL
97,178580,30.0,Supervisory+RL
98,57790,30.0,Supervisory+RL
99,168580,30.0,Supervisory+RL
100,208650,30.0,Supervisory+RL
101,123540,30.0,Supervisory+RL
102,208580,30.0,Supervisory+RL
103,163620,30.0,Supervisory+RL
104,147730,30.0,Supervisory+RL
105,177780,30.0,Supervisory+RL
106,118630,30.0,Supervisory+RL
107,93500,30.0,Supervisory+RL
108,88710,30.0,Supervisory+RL
109,153630,30.0,Supervisory+RL
110,123540,30.0,Supervisory+RL
111,163590,30.0,Supervisory+RL
112,197530,30.0,Supervisory+RL
113,168650,30.0,Supervisory+RL
114,158600,30.0,Supervisory+RL
115,123550,30.0,Supervisory+RL
116,218570,30.0,Supervisory+RL
117,218470,30.0,Supervisory+RL
118,158670,30.0,Supervisory+RL
119,208640,30.0,Supervisory+RL
120,138520,30.0,Supervisory+RL
121,168620,30.0,Supervisory+RL
122,177770,30.0,Supervisory+RL
123,168590,30.0,Supervisory+RL
124,218590,30.0,Supervisory+RL
125,113660,30.0,Supervisory+RL
126,163540,30.0,Supervisory+RL
127,113580,30.0,Supervisory+RL
128,168630,30.0,Supervisory+RL
129,197620,30.0,Supervisory+RL
130,123640,30.0,Supervisory+RL
131,132760,30.0,Supervisory+RL
132,142710,30.0,Supervisory+RL
133,128650,30.0,Supervisory+RL
134,158710,30.0,Supervisory+RL
135,177750,30.0,Supervisory+RL
136,-43040,30.0,Supervisory+RL
137,147710,30.0,Supervisory+RL
138,218560,30.0,Supervisory+RL
139,97800,30.0,Supervisory+RL
140,187700,30.0,Supervisory+RL
141,168600,30.0,Supervisory+RL
142,168600,30.0,Supervisory+RL
143,187660,30.0,Supervisory+RL
144,147700,30.0,Supervisory+RL
145,208600,30.0,Supervisory+RL
146,128610,30.0,Supervisory+RL
147,197680,30.0,Supervisory+RL
148,178660,30.0,Supervisory+RL
149,228530,30.0,Supervisory+RL
150,178520,30.0,Supervisory+RL
151,150180,30.0,Supervisory+RL
152,188560,30.0,Supervisory+RL
153,218530,30.0,Supervisory+RL
154,170980,30.0,Supervisory+RL
