,yl,xl,method
0,148490,30.0,Supervisory+RL
1,177660,30.0,Supervisory+RL
2,198640,30.0,Supervisory+RL
3,198540,30.0,Supervisory+RL
4,198540,30.0,Supervisory+RL
5,116800,30.0,Supervisory+RL
6,108610,30.0,Supervisory+RL
7,198560,30.0,Supervisory+RL
8,198520,30.0,Supervisory+RL
9,148490,30.0,Supervisory+RL
10,158560,30.0,Supervisory+RL
11,108470,30.0,Supervisory+RL
12,158570,30.0,Supervisory+RL
13,198590,30.0,Supervisory+RL
14,68600,30.0,Supervisory+RL
15,177600,30.0,Supervisory+RL
16,198570,30.0,Supervisory+RL
17,177660,30.0,Supervisory+RL
18,177590,30.0,Supervisory+RL
19,108650,30.0,Supervisory+RL
20,198650,30.0,Supervisory+RL
21,97760,30.0,Supervisory+RL
22,78500,30.0,Supervisory+RL
23,198540,30.0,Supervisory+RL
24,87640,30.0,Supervisory+RL
25,156740,30.0,Supervisory+RL
26,135920,30.0,Supervisory+RL
27,148470,30.0,Supervisory+RL
28,198530,30.0,Supervisory+RL
29,118630,30.0,Supervisory+RL
30,28510,30.0,Supervisory+RL
31,87740,30.0,Supervisory+RL
32,158560,30.0,Supervisory+RL
33,137790,30.0,Supervisory+RL
34,148570,30.0,Supervisory+RL
35,158610,30.0,Supervisory+RL
36,177730,30.0,Supervisory+RL
37,198550,30.0,Supervisory+RL
38,108580,30.0,Supervisory+RL
39,58470,30.0,Supervisory+RL
40,177750,30.0,Supervisory+RL
41,118630,30.0,Supervisory+RL
42,137730,30.0,Supervisory+RL
43,177590,30.0,Supervisory+RL
44,158500,30.0,Supervisory+RL
45,177460,30.0,Supervisory+RL
46,177680,30.0,Supervisory+RL
47,118510,30.0,Supervisory+RL
48,118540,30.0,Supervisory+RL
49,78680,30.0,Supervisory+RL
50,140210,30.0,Supervisory+RL
51,148550,30.0,Supervisory+RL
52,159190,30.0,Supervisory+RL
53,198600,30.0,Supervisory+RL
54,161100,30.0,Supervisory+RL
55,123520,30.0,Supervisory+RL
56,7740,30.0,Supervisory+RL
57,137830,30.0,Supervisory+RL
58,158700,30.0,Supervisory+RL
59,203630,30.0,Supervisory+RL
60,161070,30.0,Supervisory+RL
61,108680,30.0,Supervisory+RL
62,161100,30.0,Supervisory+RL
63,201140,30.0,Supervisory+RL
64,177650,30.0,Supervisory+RL
65,161090,30.0,Supervisory+RL
66,201130,30.0,Supervisory+RL
67,163520,30.0,Supervisory+RL
68,198710,30.0,Supervisory+RL
69,116880,30.0,Supervisory+RL
70,137850,30.0,Supervisory+RL
71,151090,30.0,Supervisory+RL
72,198650,30.0,Supervisory+RL
73,121090,30.0,Supervisory+RL
74,163620,30.0,Supervisory+RL
75,203590,30.0,Supervisory+RL
76,203540,30.0,Supervisory+RL
77,118670,30.0,Supervisory+RL
78,158690,30.0,Supervisory+RL
79,158640,30.0,Supervisory+RL
80,159320,30.0,Supervisory+RL
81,159320,30.0,Supervisory+RL
82,137800,30.0,Supervisory+RL
83,140140,30.0,Supervisory+RL
84,201070,30.0,Supervisory+RL
85,161140,30.0,Supervisory+RL
86,198650,30.0,Supervisory+RL
