,Number of Occurrences,xl,Event,Method
0,21,30.0,redo_A,Supervisory+RL
1,13,30.0,redo_A,Supervisory
2,15,30.0,redo_A,Supervisory+RL
3,15,30.0,redo_A,Supervisory
4,23,30.0,redo_A,Supervisory+RL
5,12,30.0,redo_A,Supervisory
6,22,30.0,redo_A,Supervisory+RL
7,11,30.0,redo_A,Supervisory
8,10,30.0,redo_A,Supervisory+RL
9,15,30.0,redo_A,Supervisory
10,25,30.0,redo_A,Supervisory+RL
11,15,30.0,redo_A,Supervisory
12,20,30.0,redo_A,Supervisory+RL
13,12,30.0,redo_A,Supervisory
14,21,30.0,redo_A,Supervisory+RL
15,11,30.0,redo_A,Supervisory
16,29,30.0,redo_A,Supervisory+RL
17,5,30.0,redo_A,Supervisory
18,14,30.0,redo_B,Supervisory+RL
19,3,30.0,redo_B,Supervisory
20,18,30.0,redo_B,Supervisory+RL
21,5,30.0,redo_B,Supervisory
22,20,30.0,redo_B,Supervisory+RL
23,4,30.0,redo_B,Supervisory
24,14,30.0,redo_B,Supervisory+RL
25,1,30.0,redo_B,Supervisory
26,8,30.0,redo_B,Supervisory+RL
27,8,30.0,redo_B,Supervisory
28,21,30.0,redo_B,Supervisory+RL
29,6,30.0,redo_B,Supervisory
30,22,30.0,redo_B,Supervisory+RL
31,5,30.0,redo_B,Supervisory
32,18,30.0,redo_B,Supervisory+RL
33,8,30.0,redo_B,Supervisory
34,15,30.0,redo_B,Supervisory+RL
35,6,30.0,redo_B,Supervisory
36,21,30.0,redo_A,Supervisory+RL
37,13,30.0,redo_A,Supervisory
38,15,30.0,redo_A,Supervisory+RL
39,15,30.0,redo_A,Supervisory
40,23,30.0,redo_A,Supervisory+RL
41,12,30.0,redo_A,Supervisory
42,22,30.0,redo_A,Supervisory+RL
43,11,30.0,redo_A,Supervisory
44,10,30.0,redo_A,Supervisory+RL
45,15,30.0,redo_A,Supervisory
46,25,30.0,redo_A,Supervisory+RL
47,15,30.0,redo_A,Supervisory
48,20,30.0,redo_A,Supervisory+RL
49,12,30.0,redo_A,Supervisory
50,21,30.0,redo_A,Supervisory+RL
51,11,30.0,redo_A,Supervisory
52,29,30.0,redo_A,Supervisory+RL
53,5,30.0,redo_A,Supervisory
54,14,30.0,redo_B,Supervisory+RL
55,3,30.0,redo_B,Supervisory
56,18,30.0,redo_B,Supervisory+RL
57,5,30.0,redo_B,Supervisory
58,20,30.0,redo_B,Supervisory+RL
59,4,30.0,redo_B,Supervisory
60,14,30.0,redo_B,Supervisory+RL
61,1,30.0,redo_B,Supervisory
62,8,30.0,redo_B,Supervisory+RL
63,8,30.0,redo_B,Supervisory
64,21,30.0,redo_B,Supervisory+RL
65,6,30.0,redo_B,Supervisory
66,22,30.0,redo_B,Supervisory+RL
67,5,30.0,redo_B,Supervisory
68,18,30.0,redo_B,Supervisory+RL
69,8,30.0,redo_B,Supervisory
70,15,30.0,redo_B,Supervisory+RL
71,6,30.0,redo_B,Supervisory
