,yl,xl,method
0,169130,30.0,Supervisory+RL
1,108180,30.0,Supervisory+RL
2,188230,30.0,Supervisory+RL
3,178260,30.0,Supervisory+RL
4,127090,30.0,Supervisory+RL
5,88200,30.0,Supervisory+RL
6,19110,30.0,Supervisory+RL
7,199220,30.0,Supervisory+RL
8,209140,30.0,Supervisory+RL
9,209120,30.0,Supervisory+RL
10,219100,30.0,Supervisory+RL
11,198140,30.0,Supervisory+RL
12,148130,30.0,Supervisory+RL
13,209160,30.0,Supervisory+RL
14,219140,30.0,Supervisory+RL
15,137190,30.0,Supervisory+RL
16,188200,30.0,Supervisory+RL
17,198140,30.0,Supervisory+RL
18,158150,30.0,Supervisory+RL
19,179060,30.0,Supervisory+RL
20,108130,30.0,Supervisory+RL
21,148200,30.0,Supervisory+RL
22,148180,30.0,Supervisory+RL
23,209160,30.0,Supervisory+RL
24,169150,30.0,Supervisory+RL
25,158110,30.0,Supervisory+RL
26,219090,30.0,Supervisory+RL
27,146280,30.0,Supervisory+RL
28,99060,30.0,Supervisory+RL
29,158110,30.0,Supervisory+RL
30,169110,30.0,Supervisory+RL
31,127200,30.0,Supervisory+RL
32,169130,30.0,Supervisory+RL
33,159060,30.0,Supervisory+RL
34,129090,30.0,Supervisory+RL
35,178180,30.0,Supervisory+RL
36,136270,30.0,Supervisory+RL
37,209160,30.0,Supervisory+RL
38,188200,30.0,Supervisory+RL
39,209230,30.0,Supervisory+RL
40,188170,30.0,Supervisory+RL
41,97140,30.0,Supervisory+RL
42,178250,30.0,Supervisory+RL
43,167240,30.0,Supervisory+RL
44,219060,30.0,Supervisory+RL
45,219120,30.0,Supervisory+RL
46,209230,30.0,Supervisory+RL
47,178220,30.0,Supervisory+RL
48,159070,30.0,Supervisory+RL
49,219070,30.0,Supervisory+RL
50,150600,30.0,Supervisory+RL
51,211200,30.0,Supervisory+RL
52,151100,30.0,Supervisory+RL
53,190300,30.0,Supervisory+RL
54,149600,30.0,Supervisory+RL
55,169800,30.0,Supervisory+RL
56,169800,30.0,Supervisory+RL
57,121100,30.0,Supervisory+RL
58,150300,30.0,Supervisory+RL
59,160600,30.0,Supervisory+RL
60,111700,30.0,Supervisory+RL
61,201900,30.0,Supervisory+RL
62,190300,30.0,Supervisory+RL
63,140800,30.0,Supervisory+RL
64,159500,30.0,Supervisory+RL
65,160700,30.0,Supervisory+RL
66,150900,30.0,Supervisory+RL
67,220500,30.0,Supervisory+RL
68,90400,30.0,Supervisory+RL
69,141400,30.0,Supervisory+RL
70,70600,30.0,Supervisory+RL
71,60400,30.0,Supervisory+RL
72,141800,30.0,Supervisory+RL
73,180300,30.0,Supervisory+RL
74,130400,30.0,Supervisory+RL
75,221100,30.0,Supervisory+RL
76,211000,30.0,Supervisory+RL
77,109900,30.0,Supervisory+RL
78,129800,30.0,Supervisory+RL
79,130500,30.0,Supervisory+RL
80,220700,30.0,Supervisory+RL
81,90400,30.0,Supervisory+RL
82,160000,30.0,Supervisory+RL
83,219500,30.0,Supervisory+RL
84,151000,30.0,Supervisory+RL
85,211000,30.0,Supervisory+RL
86,169900,30.0,Supervisory+RL
87,190200,30.0,Supervisory+RL
88,220400,30.0,Supervisory+RL
89,99400,30.0,Supervisory+RL
90,69800,30.0,Supervisory+RL
91,130400,30.0,Supervisory+RL
92,189400,30.0,Supervisory+RL
93,108800,30.0,Supervisory+RL
94,171700,30.0,Supervisory+RL
95,151100,30.0,Supervisory+RL
96,181200,30.0,Supervisory+RL
97,201700,30.0,Supervisory+RL
98,181000,30.0,Supervisory+RL
99,220200,30.0,Supervisory+RL
100,193200,30.0,Supervisory+RL
101,172000,30.0,Supervisory+RL
102,150600,30.0,Supervisory+RL
103,152200,30.0,Supervisory+RL
104,153400,30.0,Supervisory+RL
105,172600,30.0,Supervisory+RL
106,192400,30.0,Supervisory+RL
107,181800,30.0,Supervisory+RL
108,193400,30.0,Supervisory+RL
109,151400,30.0,Supervisory+RL
110,152800,30.0,Supervisory+RL
111,201200,30.0,Supervisory+RL
112,193200,30.0,Supervisory+RL
113,172600,30.0,Supervisory+RL
114,141600,30.0,Supervisory+RL
115,202000,30.0,Supervisory+RL
116,153400,30.0,Supervisory+RL
117,143000,30.0,Supervisory+RL
118,182600,30.0,Supervisory+RL
119,100800,30.0,Supervisory+RL
120,162600,30.0,Supervisory+RL
121,181800,30.0,Supervisory+RL
122,183200,30.0,Supervisory+RL
123,92400,30.0,Supervisory+RL
124,193200,30.0,Supervisory+RL
125,182600,30.0,Supervisory+RL
126,173000,30.0,Supervisory+RL
127,172400,30.0,Supervisory+RL
128,162000,30.0,Supervisory+RL
129,193200,30.0,Supervisory+RL
130,162600,30.0,Supervisory+RL
131,201000,30.0,Supervisory+RL
132,180800,30.0,Supervisory+RL
133,92600,30.0,Supervisory+RL
134,161400,30.0,Supervisory+RL
135,132200,30.0,Supervisory+RL
136,201800,30.0,Supervisory+RL
137,141000,30.0,Supervisory+RL
138,164200,30.0,Supervisory+RL
139,193200,30.0,Supervisory+RL
140,182200,30.0,Supervisory+RL
141,101800,30.0,Supervisory+RL
142,92200,30.0,Supervisory+RL
143,182400,30.0,Supervisory+RL
144,160400,30.0,Supervisory+RL
145,192400,30.0,Supervisory+RL
146,202800,30.0,Supervisory+RL
147,132600,30.0,Supervisory+RL
148,172200,30.0,Supervisory+RL
149,181800,30.0,Supervisory+RL
150,161900,30.0,Supervisory+RL
151,153000,30.0,Supervisory+RL
152,102500,30.0,Supervisory+RL
153,150300,30.0,Supervisory+RL
154,92300,30.0,Supervisory+RL
155,162200,30.0,Supervisory+RL
156,144200,30.0,Supervisory+RL
157,85000,30.0,Supervisory+RL
158,153600,30.0,Supervisory+RL
159,73900,30.0,Supervisory+RL
160,143300,30.0,Supervisory+RL
161,153300,30.0,Supervisory+RL
162,122300,30.0,Supervisory+RL
163,124100,30.0,Supervisory+RL
164,103100,30.0,Supervisory+RL
165,152400,30.0,Supervisory+RL
166,65600,30.0,Supervisory+RL
167,154300,30.0,Supervisory+RL
168,161800,30.0,Supervisory+RL
169,96600,30.0,Supervisory+RL
170,201200,30.0,Supervisory+RL
171,55100,30.0,Supervisory+RL
172,73200,30.0,Supervisory+RL
173,85000,30.0,Supervisory+RL
174,153300,30.0,Supervisory+RL
175,93600,30.0,Supervisory+RL
176,173500,30.0,Supervisory+RL
177,45900,30.0,Supervisory+RL
178,153400,30.0,Supervisory+RL
179,83600,30.0,Supervisory+RL
180,123500,30.0,Supervisory+RL
181,123500,30.0,Supervisory+RL
182,202700,30.0,Supervisory+RL
183,195100,30.0,Supervisory+RL
184,143900,30.0,Supervisory+RL
185,113000,30.0,Supervisory+RL
186,11800,30.0,Supervisory+RL
187,173200,30.0,Supervisory+RL
188,133200,30.0,Supervisory+RL
189,161200,30.0,Supervisory+RL
190,152200,30.0,Supervisory+RL
191,184500,30.0,Supervisory+RL
192,133000,30.0,Supervisory+RL
193,143300,30.0,Supervisory+RL
194,75900,30.0,Supervisory+RL
195,13600,30.0,Supervisory+RL
196,83800,30.0,Supervisory+RL
197,114200,30.0,Supervisory+RL
198,141400,30.0,Supervisory+RL
199,111500,30.0,Supervisory+RL
200,65600,30.0,Supervisory+RL
201,115800,30.0,Supervisory+RL
202,136800,30.0,Supervisory+RL
203,87200,30.0,Supervisory+RL
204,168800,30.0,Supervisory+RL
205,88800,30.0,Supervisory+RL
206,169200,30.0,Supervisory+RL
207,136400,30.0,Supervisory+RL
208,115000,30.0,Supervisory+RL
209,176400,30.0,Supervisory+RL
210,46800,30.0,Supervisory+RL
211,97000,30.0,Supervisory+RL
212,45200,30.0,Supervisory+RL
213,149400,30.0,Supervisory+RL
214,88800,30.0,Supervisory+RL
215,57200,30.0,Supervisory+RL
216,176400,30.0,Supervisory+RL
217,96400,30.0,Supervisory+RL
218,128400,30.0,Supervisory+RL
219,174800,30.0,Supervisory+RL
220,47200,30.0,Supervisory+RL
221,-31200,30.0,Supervisory+RL
222,137600,30.0,Supervisory+RL
223,128400,30.0,Supervisory+RL
224,136000,30.0,Supervisory+RL
225,176400,30.0,Supervisory+RL
226,125600,30.0,Supervisory+RL
227,88000,30.0,Supervisory+RL
228,115800,30.0,Supervisory+RL
229,174800,30.0,Supervisory+RL
230,119800,30.0,Supervisory+RL
231,104600,30.0,Supervisory+RL
232,166800,30.0,Supervisory+RL
233,46400,30.0,Supervisory+RL
234,50000,30.0,Supervisory+RL
235,57600,30.0,Supervisory+RL
236,74600,30.0,Supervisory+RL
237,75000,30.0,Supervisory+RL
238,117000,30.0,Supervisory+RL
239,136800,30.0,Supervisory+RL
240,176400,30.0,Supervisory+RL
241,117000,30.0,Supervisory+RL
242,54400,30.0,Supervisory+RL
243,127600,30.0,Supervisory+RL
244,116400,30.0,Supervisory+RL
245,134400,30.0,Supervisory+RL
246,17000,30.0,Supervisory+RL
247,96400,30.0,Supervisory+RL
248,186800,30.0,Supervisory+RL
249,88000,30.0,Supervisory+RL
250,185500,30.0,Supervisory+RL
251,173000,30.0,Supervisory+RL
252,164500,30.0,Supervisory+RL
253,185500,30.0,Supervisory+RL
254,113500,30.0,Supervisory+RL
255,140500,30.0,Supervisory+RL
256,163000,30.0,Supervisory+RL
257,128500,30.0,Supervisory+RL
258,154500,30.0,Supervisory+RL
259,149000,30.0,Supervisory+RL
260,185000,30.0,Supervisory+RL
261,163000,30.0,Supervisory+RL
262,96000,30.0,Supervisory+RL
263,90000,30.0,Supervisory+RL
264,59500,30.0,Supervisory+RL
265,12000,30.0,Supervisory+RL
266,48000,30.0,Supervisory+RL
267,97500,30.0,Supervisory+RL
268,113500,30.0,Supervisory+RL
269,170000,30.0,Supervisory+RL
270,155500,30.0,Supervisory+RL
271,177000,30.0,Supervisory+RL
272,139000,30.0,Supervisory+RL
273,44000,30.0,Supervisory+RL
274,179000,30.0,Supervisory+RL
275,115000,30.0,Supervisory+RL
276,179500,30.0,Supervisory+RL
277,175000,30.0,Supervisory+RL
278,137000,30.0,Supervisory+RL
279,91500,30.0,Supervisory+RL
280,114500,30.0,Supervisory+RL
281,150000,30.0,Supervisory+RL
282,109000,30.0,Supervisory+RL
283,115500,30.0,Supervisory+RL
284,22000,30.0,Supervisory+RL
285,88500,30.0,Supervisory+RL
286,173000,30.0,Supervisory+RL
287,155000,30.0,Supervisory+RL
288,134500,30.0,Supervisory+RL
289,65500,30.0,Supervisory+RL
290,171500,30.0,Supervisory+RL
291,37000,30.0,Supervisory+RL
292,130000,30.0,Supervisory+RL
293,137500,30.0,Supervisory+RL
294,135000,30.0,Supervisory+RL
295,135000,30.0,Supervisory+RL
296,76000,30.0,Supervisory+RL
297,148000,30.0,Supervisory+RL
298,76000,30.0,Supervisory+RL
299,178000,30.0,Supervisory+RL
300,106800,30.0,Supervisory+RL
301,98600,30.0,Supervisory+RL
302,123600,30.0,Supervisory+RL
303,145000,30.0,Supervisory+RL
304,78400,30.0,Supervisory+RL
305,36000,30.0,Supervisory+RL
306,147400,30.0,Supervisory+RL
307,101600,30.0,Supervisory+RL
308,66000,30.0,Supervisory+RL
309,25800,30.0,Supervisory+RL
310,146200,30.0,Supervisory+RL
311,62400,30.0,Supervisory+RL
312,163600,30.0,Supervisory+RL
313,47800,30.0,Supervisory+RL
314,105200,30.0,Supervisory+RL
315,165400,30.0,Supervisory+RL
316,1000,30.0,Supervisory+RL
317,78200,30.0,Supervisory+RL
318,105600,30.0,Supervisory+RL
319,158400,30.0,Supervisory+RL
320,109200,30.0,Supervisory+RL
321,149000,30.0,Supervisory+RL
322,167800,30.0,Supervisory+RL
323,136800,30.0,Supervisory+RL
324,157200,30.0,Supervisory+RL
325,133400,30.0,Supervisory+RL
326,87400,30.0,Supervisory+RL
327,99800,30.0,Supervisory+RL
328,120600,30.0,Supervisory+RL
329,97400,30.0,Supervisory+RL
330,117600,30.0,Supervisory+RL
331,128800,30.0,Supervisory+RL
332,49800,30.0,Supervisory+RL
333,83000,30.0,Supervisory+RL
334,136200,30.0,Supervisory+RL
335,159600,30.0,Supervisory+RL
336,152200,30.0,Supervisory+RL
337,141000,30.0,Supervisory+RL
338,77800,30.0,Supervisory+RL
339,66800,30.0,Supervisory+RL
340,166000,30.0,Supervisory+RL
341,138000,30.0,Supervisory+RL
342,170800,30.0,Supervisory+RL
343,152200,30.0,Supervisory+RL
344,138600,30.0,Supervisory+RL
345,123000,30.0,Supervisory+RL
346,125400,30.0,Supervisory+RL
347,80000,30.0,Supervisory+RL
348,144400,30.0,Supervisory+RL
349,127800,30.0,Supervisory+RL
350,79500,30.0,Supervisory+RL
351,120600,30.0,Supervisory+RL
352,70900,30.0,Supervisory+RL
353,95100,30.0,Supervisory+RL
354,114800,30.0,Supervisory+RL
355,152600,30.0,Supervisory+RL
356,111200,30.0,Supervisory+RL
357,149100,30.0,Supervisory+RL
358,139500,30.0,Supervisory+RL
359,151200,30.0,Supervisory+RL
360,87000,30.0,Supervisory+RL
361,93000,30.0,Supervisory+RL
362,72000,30.0,Supervisory+RL
363,76000,30.0,Supervisory+RL
364,149800,30.0,Supervisory+RL
365,157000,30.0,Supervisory+RL
366,37400,30.0,Supervisory+RL
367,138100,30.0,Supervisory+RL
368,157000,30.0,Supervisory+RL
369,49800,30.0,Supervisory+RL
370,109900,30.0,Supervisory+RL
371,66900,30.0,Supervisory+RL
372,157000,30.0,Supervisory+RL
373,130900,30.0,Supervisory+RL
374,153500,30.0,Supervisory+RL
375,149800,30.0,Supervisory+RL
376,85800,30.0,Supervisory+RL
377,151200,30.0,Supervisory+RL
378,108400,30.0,Supervisory+RL
379,75700,30.0,Supervisory+RL
380,93000,30.0,Supervisory+RL
381,109900,30.0,Supervisory+RL
382,107700,30.0,Supervisory+RL
383,154200,30.0,Supervisory+RL
384,74800,30.0,Supervisory+RL
385,151200,30.0,Supervisory+RL
386,35500,30.0,Supervisory+RL
387,154900,30.0,Supervisory+RL
388,104100,30.0,Supervisory+RL
389,114800,30.0,Supervisory+RL
390,89800,30.0,Supervisory+RL
391,97000,30.0,Supervisory+RL
392,108400,30.0,Supervisory+RL
393,79500,30.0,Supervisory+RL
394,90500,30.0,Supervisory+RL
395,-20500,30.0,Supervisory+RL
396,116400,30.0,Supervisory+RL
397,109800,30.0,Supervisory+RL
398,125500,30.0,Supervisory+RL
399,52800,30.0,Supervisory+RL
400,67000,30.0,Supervisory+RL
401,70200,30.0,Supervisory+RL
402,106000,30.0,Supervisory+RL
403,130200,30.0,Supervisory+RL
404,81800,30.0,Supervisory+RL
405,116400,30.0,Supervisory+RL
406,146400,30.0,Supervisory+RL
407,92200,30.0,Supervisory+RL
408,124200,30.0,Supervisory+RL
409,110800,30.0,Supervisory+RL
410,124600,30.0,Supervisory+RL
411,133400,30.0,Supervisory+RL
412,30800,30.0,Supervisory+RL
413,33000,30.0,Supervisory+RL
414,107200,30.0,Supervisory+RL
415,91400,30.0,Supervisory+RL
416,125000,30.0,Supervisory+RL
417,78800,30.0,Supervisory+RL
418,143200,30.0,Supervisory+RL
419,156400,30.0,Supervisory+RL
420,48600,30.0,Supervisory+RL
421,127000,30.0,Supervisory+RL
422,154000,30.0,Supervisory+RL
423,86400,30.0,Supervisory+RL
424,154800,30.0,Supervisory+RL
425,93400,30.0,Supervisory+RL
