,Number of Occurrences,xl,Event,Method
0,63,30.0,good_A,Supervisory+RL
1,72,30.0,good_A,Supervisory
2,43,30.0,good_A,Supervisory+RL
3,71,30.0,good_A,Supervisory
4,66,30.0,good_A,Supervisory+RL
5,66,30.0,good_A,Supervisory
6,56,30.0,good_A,Supervisory+RL
7,70,30.0,good_A,Supervisory
8,59,30.0,good_A,Supervisory+RL
9,77,30.0,good_A,Supervisory
10,59,30.0,good_A,Supervisory+RL
11,67,30.0,good_A,Supervisory
12,64,30.0,good_A,Supervisory+RL
13,65,30.0,good_A,Supervisory
14,55,30.0,good_A,Supervisory+RL
15,73,30.0,good_A,Supervisory
16,55,30.0,good_A,Supervisory+RL
17,72,30.0,good_A,Supervisory
18,378,30.0,good_B,Supervisory+RL
19,310,30.0,good_B,Supervisory
20,392,30.0,good_B,Supervisory+RL
21,309,30.0,good_B,Supervisory
22,367,30.0,good_B,Supervisory+RL
23,316,30.0,good_B,Supervisory
24,383,30.0,good_B,Supervisory+RL
25,321,30.0,good_B,Supervisory
26,361,30.0,good_B,Supervisory+RL
27,316,30.0,good_B,Supervisory
28,381,30.0,good_B,Supervisory+RL
29,328,30.0,good_B,Supervisory
30,370,30.0,good_B,Supervisory+RL
31,325,30.0,good_B,Supervisory
32,379,30.0,good_B,Supervisory+RL
33,306,30.0,good_B,Supervisory
34,380,30.0,good_B,Supervisory+RL
35,328,30.0,good_B,Supervisory
36,63,30.0,good_A,Supervisory+RL
37,72,30.0,good_A,Supervisory
38,43,30.0,good_A,Supervisory+RL
39,71,30.0,good_A,Supervisory
40,66,30.0,good_A,Supervisory+RL
41,66,30.0,good_A,Supervisory
42,56,30.0,good_A,Supervisory+RL
43,70,30.0,good_A,Supervisory
44,59,30.0,good_A,Supervisory+RL
45,77,30.0,good_A,Supervisory
46,59,30.0,good_A,Supervisory+RL
47,67,30.0,good_A,Supervisory
48,64,30.0,good_A,Supervisory+RL
49,65,30.0,good_A,Supervisory
50,55,30.0,good_A,Supervisory+RL
51,73,30.0,good_A,Supervisory
52,55,30.0,good_A,Supervisory+RL
53,72,30.0,good_A,Supervisory
54,378,30.0,good_B,Supervisory+RL
55,310,30.0,good_B,Supervisory
56,392,30.0,good_B,Supervisory+RL
57,309,30.0,good_B,Supervisory
58,367,30.0,good_B,Supervisory+RL
59,316,30.0,good_B,Supervisory
60,383,30.0,good_B,Supervisory+RL
61,321,30.0,good_B,Supervisory
62,361,30.0,good_B,Supervisory+RL
63,316,30.0,good_B,Supervisory
64,381,30.0,good_B,Supervisory+RL
65,328,30.0,good_B,Supervisory
66,370,30.0,good_B,Supervisory+RL
67,325,30.0,good_B,Supervisory
68,379,30.0,good_B,Supervisory+RL
69,306,30.0,good_B,Supervisory
70,380,30.0,good_B,Supervisory+RL
71,328,30.0,good_B,Supervisory
