,yl,xl,method
0,177780,30.0,Supervisory+RL
1,178610,30.0,Supervisory+RL
2,158620,30.0,Supervisory+RL
3,228500,30.0,Supervisory+RL
4,228460,30.0,Supervisory+RL
5,228480,30.0,Supervisory+RL
6,166870,30.0,Supervisory+RL
7,158510,30.0,Supervisory+RL
8,147720,30.0,Supervisory+RL
9,147790,30.0,Supervisory+RL
10,168590,30.0,Supervisory+RL
11,228460,30.0,Supervisory+RL
12,168720,30.0,Supervisory+RL
13,157670,30.0,Supervisory+RL
14,128670,30.0,Supervisory+RL
15,177780,30.0,Supervisory+RL
16,218530,30.0,Supervisory+RL
17,147760,30.0,Supervisory+RL
18,208640,30.0,Supervisory+RL
19,208610,30.0,Supervisory+RL
20,187630,30.0,Supervisory+RL
21,208620,30.0,Supervisory+RL
22,118550,30.0,Supervisory+RL
23,187690,30.0,Supervisory+RL
24,118670,30.0,Supervisory+RL
25,178520,30.0,Supervisory+RL
26,208630,30.0,Supervisory+RL
27,107680,30.0,Supervisory+RL
28,208490,30.0,Supervisory+RL
29,177780,30.0,Supervisory+RL
30,218550,30.0,Supervisory+RL
31,145970,30.0,Supervisory+RL
32,118700,30.0,Supervisory+RL
33,197730,30.0,Supervisory+RL
34,158560,30.0,Supervisory+RL
35,18600,30.0,Supervisory+RL
36,218540,30.0,Supervisory+RL
37,218580,30.0,Supervisory+RL
38,188450,30.0,Supervisory+RL
39,147720,30.0,Supervisory+RL
40,108680,30.0,Supervisory+RL
41,118690,30.0,Supervisory+RL
42,168600,30.0,Supervisory+RL
43,178590,30.0,Supervisory+RL
44,178590,30.0,Supervisory+RL
45,178560,30.0,Supervisory+RL
46,218560,30.0,Supervisory+RL
47,116900,30.0,Supervisory+RL
48,117700,30.0,Supervisory+RL
49,148680,30.0,Supervisory+RL
50,178520,30.0,Supervisory+RL
51,176770,30.0,Supervisory+RL
52,218620,30.0,Supervisory+RL
53,198690,30.0,Supervisory+RL
54,88560,30.0,Supervisory+RL
55,168630,30.0,Supervisory+RL
56,148610,30.0,Supervisory+RL
57,196720,30.0,Supervisory+RL
58,218550,30.0,Supervisory+RL
59,186800,30.0,Supervisory+RL
60,124840,30.0,Supervisory+RL
61,114890,30.0,Supervisory+RL
62,186720,30.0,Supervisory+RL
63,186810,30.0,Supervisory+RL
64,198630,30.0,Supervisory+RL
65,196690,30.0,Supervisory+RL
66,218540,30.0,Supervisory+RL
67,154820,30.0,Supervisory+RL
68,218590,30.0,Supervisory+RL
69,178560,30.0,Supervisory+RL
70,158710,30.0,Supervisory+RL
71,186650,30.0,Supervisory+RL
72,108610,30.0,Supervisory+RL
73,146780,30.0,Supervisory+RL
74,198690,30.0,Supervisory+RL
75,146750,30.0,Supervisory+RL
76,136790,30.0,Supervisory+RL
77,218500,30.0,Supervisory+RL
78,208600,30.0,Supervisory+RL
79,158660,30.0,Supervisory+RL
80,158560,30.0,Supervisory+RL
81,186760,30.0,Supervisory+RL
82,198580,30.0,Supervisory+RL
83,106820,30.0,Supervisory+RL
84,158740,30.0,Supervisory+RL
85,118640,30.0,Supervisory+RL
86,136640,30.0,Supervisory+RL
87,158680,30.0,Supervisory+RL
88,86680,30.0,Supervisory+RL
89,168640,30.0,Supervisory+RL
90,168650,30.0,Supervisory+RL
91,164860,30.0,Supervisory+RL
92,106710,30.0,Supervisory+RL
93,164820,30.0,Supervisory+RL
94,88650,30.0,Supervisory+RL
95,146730,30.0,Supervisory+RL
