,Number of Occurrences,xl,Event,Method
0,3,10.0,redo_A,Supervisory+RL
1,0,10.0,redo_A,Supervisory
2,2,10.0,redo_A,DQL
3,6,20.0,redo_A,Supervisory+RL
4,1,20.0,redo_A,Supervisory
5,0,20.0,redo_A,DQL
6,5,30.000000000000004,redo_A,Supervisory+RL
7,0,30.000000000000004,redo_A,Supervisory
8,0,30.0,redo_A,DQL
9,11,40.0,redo_A,Supervisory+RL
10,2,40.0,redo_A,Supervisory
11,0,40.0,redo_A,DQL
12,6,50.0,redo_A,Supervisory+RL
13,0,50.0,redo_A,Supervisory
14,0,50.0,redo_A,DQL
15,13,60.0,redo_A,Supervisory+RL
16,6,60.0,redo_A,Supervisory
17,0,60.0,redo_A,DQL
18,10,70.0,redo_A,Supervisory+RL
19,3,70.0,redo_A,Supervisory
20,0,70.0,redo_A,DQL
21,18,80.0,redo_A,Supervisory+RL
22,1,80.0,redo_A,Supervisory
23,0,80.0,redo_A,DQL
24,34,90.0,redo_A,Supervisory+RL
25,5,90.0,redo_A,Supervisory
26,0,90.0,redo_A,DQL
27,41,10.0,redo_B,Supervisory+RL
28,10,10.0,redo_B,Supervisory
29,2,10.0,redo_B,DQL
30,28,20.0,redo_B,Supervisory+RL
31,7,20.0,redo_B,Supervisory
32,0,20.0,redo_B,DQL
33,44,30.000000000000004,redo_B,Supervisory+RL
34,7,30.000000000000004,redo_B,Supervisory
35,0,30.0,redo_B,DQL
36,24,40.0,redo_B,Supervisory+RL
37,8,40.0,redo_B,Supervisory
38,0,40.0,redo_B,DQL
39,32,50.0,redo_B,Supervisory+RL
40,7,50.0,redo_B,Supervisory
41,0,50.0,redo_B,DQL
42,32,60.0,redo_B,Supervisory+RL
43,5,60.0,redo_B,Supervisory
44,0,60.0,redo_B,DQL
45,36,70.0,redo_B,Supervisory+RL
46,12,70.0,redo_B,Supervisory
47,0,70.0,redo_B,DQL
48,30,80.0,redo_B,Supervisory+RL
49,3,80.0,redo_B,Supervisory
50,0,80.0,redo_B,DQL
51,24,90.0,redo_B,Supervisory+RL
52,5,90.0,redo_B,Supervisory
53,0,90.0,redo_B,DQL
54,3,10.0,redo_A,Supervisory+RL
55,0,10.0,redo_A,Supervisory
56,2,10.0,redo_A,DQL
57,6,20.0,redo_A,Supervisory+RL
58,1,20.0,redo_A,Supervisory
59,0,20.0,redo_A,DQL
60,5,30.000000000000004,redo_A,Supervisory+RL
61,0,30.000000000000004,redo_A,Supervisory
62,0,30.0,redo_A,DQL
63,11,40.0,redo_A,Supervisory+RL
64,2,40.0,redo_A,Supervisory
65,0,40.0,redo_A,DQL
66,6,50.0,redo_A,Supervisory+RL
67,0,50.0,redo_A,Supervisory
68,0,50.0,redo_A,DQL
69,13,60.0,redo_A,Supervisory+RL
70,6,60.0,redo_A,Supervisory
71,0,60.0,redo_A,DQL
72,10,70.0,redo_A,Supervisory+RL
73,3,70.0,redo_A,Supervisory
74,0,70.0,redo_A,DQL
75,18,80.0,redo_A,Supervisory+RL
76,1,80.0,redo_A,Supervisory
77,0,80.0,redo_A,DQL
78,34,90.0,redo_A,Supervisory+RL
79,5,90.0,redo_A,Supervisory
80,0,90.0,redo_A,DQL
81,41,10.0,redo_B,Supervisory+RL
82,10,10.0,redo_B,Supervisory
83,2,10.0,redo_B,DQL
84,28,20.0,redo_B,Supervisory+RL
85,7,20.0,redo_B,Supervisory
86,0,20.0,redo_B,DQL
87,44,30.000000000000004,redo_B,Supervisory+RL
88,7,30.000000000000004,redo_B,Supervisory
89,0,30.0,redo_B,DQL
90,24,40.0,redo_B,Supervisory+RL
91,8,40.0,redo_B,Supervisory
92,0,40.0,redo_B,DQL
93,32,50.0,redo_B,Supervisory+RL
94,7,50.0,redo_B,Supervisory
95,0,50.0,redo_B,DQL
96,32,60.0,redo_B,Supervisory+RL
97,5,60.0,redo_B,Supervisory
98,0,60.0,redo_B,DQL
99,36,70.0,redo_B,Supervisory+RL
100,12,70.0,redo_B,Supervisory
101,0,70.0,redo_B,DQL
102,30,80.0,redo_B,Supervisory+RL
103,3,80.0,redo_B,Supervisory
104,0,80.0,redo_B,DQL
105,24,90.0,redo_B,Supervisory+RL
106,5,90.0,redo_B,Supervisory
107,0,90.0,redo_B,DQL
