,yl,xl,method
0,119000,10.0,Supervisory+RL
1,189030,10.0,Supervisory+RL
2,198150,10.0,Supervisory+RL
3,239000,10.0,Supervisory+RL
4,188980,10.0,Supervisory+RL
5,188200,10.0,Supervisory+RL
6,198990,10.0,Supervisory+RL
7,208060,10.0,Supervisory+RL
8,108070,10.0,Supervisory+RL
9,137200,10.0,Supervisory+RL
10,198940,10.0,Supervisory+RL
11,158020,10.0,Supervisory+RL
12,209160,10.0,Supervisory+RL
13,208120,10.0,Supervisory+RL
14,188230,10.0,Supervisory+RL
15,229050,10.0,Supervisory+RL
16,199050,10.0,Supervisory+RL
17,228000,10.0,Supervisory+RL
18,189110,10.0,Supervisory+RL
19,238980,10.0,Supervisory+RL
20,178030,10.0,Supervisory+RL
21,199010,10.0,Supervisory+RL
22,187100,10.0,Supervisory+RL
23,229110,10.0,Supervisory+RL
24,239010,10.0,Supervisory+RL
25,229060,10.0,Supervisory+RL
26,229120,10.0,Supervisory+RL
27,158950,10.0,Supervisory+RL
28,218000,10.0,Supervisory+RL
29,137970,10.0,Supervisory+RL
30,229010,10.0,Supervisory+RL
31,227920,10.0,Supervisory+RL
32,168960,10.0,Supervisory+RL
33,178050,10.0,Supervisory+RL
34,156220,10.0,Supervisory+RL
35,198110,10.0,Supervisory+RL
36,238950,10.0,Supervisory+RL
37,177140,10.0,Supervisory+RL
38,177180,10.0,Supervisory+RL
39,179170,10.0,Supervisory+RL
40,229040,10.0,Supervisory+RL
41,208100,10.0,Supervisory+RL
42,108040,10.0,Supervisory+RL
43,188870,10.0,Supervisory+RL
44,179100,10.0,Supervisory+RL
45,248980,10.0,Supervisory+RL
46,188990,10.0,Supervisory+RL
47,208090,10.0,Supervisory+RL
48,239050,10.0,Supervisory+RL
49,189040,10.0,Supervisory+RL
50,117110,20.0,Supervisory+RL
51,198140,20.0,Supervisory+RL
52,239040,20.0,Supervisory+RL
53,188120,20.0,Supervisory+RL
54,137220,20.0,Supervisory+RL
55,229110,20.0,Supervisory+RL
56,179050,20.0,Supervisory+RL
57,219000,20.0,Supervisory+RL
58,229040,20.0,Supervisory+RL
59,219090,20.0,Supervisory+RL
60,117140,20.0,Supervisory+RL
61,189110,20.0,Supervisory+RL
62,189110,20.0,Supervisory+RL
63,229040,20.0,Supervisory+RL
64,169070,20.0,Supervisory+RL
65,228980,20.0,Supervisory+RL
66,149040,20.0,Supervisory+RL
67,149170,20.0,Supervisory+RL
68,108020,20.0,Supervisory+RL
69,169080,20.0,Supervisory+RL
70,177180,20.0,Supervisory+RL
71,156220,20.0,Supervisory+RL
72,198070,20.0,Supervisory+RL
73,187110,20.0,Supervisory+RL
74,198140,20.0,Supervisory+RL
75,229070,20.0,Supervisory+RL
76,158070,20.0,Supervisory+RL
77,168080,20.0,Supervisory+RL
78,149000,20.0,Supervisory+RL
79,127210,20.0,Supervisory+RL
80,158160,20.0,Supervisory+RL
81,198140,20.0,Supervisory+RL
82,189080,20.0,Supervisory+RL
83,198140,20.0,Supervisory+RL
84,148160,20.0,Supervisory+RL
85,219050,20.0,Supervisory+RL
86,168080,20.0,Supervisory+RL
87,198180,20.0,Supervisory+RL
88,198110,20.0,Supervisory+RL
89,106230,20.0,Supervisory+RL
90,148140,20.0,Supervisory+RL
91,219100,20.0,Supervisory+RL
92,188190,20.0,Supervisory+RL
93,229060,20.0,Supervisory+RL
94,189010,20.0,Supervisory+RL
95,219070,20.0,Supervisory+RL
96,198140,20.0,Supervisory+RL
97,219090,20.0,Supervisory+RL
98,168040,20.0,Supervisory+RL
99,158100,20.0,Supervisory+RL
100,198060,30.0,Supervisory+RL
101,167240,30.0,Supervisory+RL
102,209140,30.0,Supervisory+RL
103,137140,30.0,Supervisory+RL
104,179120,30.0,Supervisory+RL
105,188240,30.0,Supervisory+RL
106,118140,30.0,Supervisory+RL
107,209160,30.0,Supervisory+RL
108,198140,30.0,Supervisory+RL
109,209110,30.0,Supervisory+RL
110,188160,30.0,Supervisory+RL
111,108270,30.0,Supervisory+RL
112,159060,30.0,Supervisory+RL
113,138150,30.0,Supervisory+RL
114,188200,30.0,Supervisory+RL
115,158190,30.0,Supervisory+RL
116,219170,30.0,Supervisory+RL
117,116220,30.0,Supervisory+RL
118,138150,30.0,Supervisory+RL
119,148200,30.0,Supervisory+RL
120,169160,30.0,Supervisory+RL
121,219010,30.0,Supervisory+RL
122,198180,30.0,Supervisory+RL
123,209110,30.0,Supervisory+RL
124,179170,30.0,Supervisory+RL
125,89140,30.0,Supervisory+RL
126,148230,30.0,Supervisory+RL
127,169160,30.0,Supervisory+RL
128,87150,30.0,Supervisory+RL
129,158160,30.0,Supervisory+RL
130,209160,30.0,Supervisory+RL
131,169110,30.0,Supervisory+RL
132,127220,30.0,Supervisory+RL
133,219100,30.0,Supervisory+RL
134,198140,30.0,Supervisory+RL
135,179060,30.0,Supervisory+RL
136,167140,30.0,Supervisory+RL
137,167240,30.0,Supervisory+RL
138,188140,30.0,Supervisory+RL
139,198110,30.0,Supervisory+RL
140,138070,30.0,Supervisory+RL
141,177260,30.0,Supervisory+RL
142,148200,30.0,Supervisory+RL
143,157240,30.0,Supervisory+RL
144,88190,30.0,Supervisory+RL
145,219100,30.0,Supervisory+RL
146,179010,30.0,Supervisory+RL
147,77140,30.0,Supervisory+RL
148,179120,30.0,Supervisory+RL
149,177200,30.0,Supervisory+RL
150,117300,40.0,Supervisory+RL
151,98260,40.0,Supervisory+RL
152,138260,40.0,Supervisory+RL
153,178220,40.0,Supervisory+RL
154,119170,40.0,Supervisory+RL
155,178190,40.0,Supervisory+RL
156,77140,40.0,Supervisory+RL
157,119120,40.0,Supervisory+RL
158,119190,40.0,Supervisory+RL
159,157300,40.0,Supervisory+RL
160,159220,40.0,Supervisory+RL
161,119220,40.0,Supervisory+RL
162,159180,40.0,Supervisory+RL
163,108150,40.0,Supervisory+RL
164,159220,40.0,Supervisory+RL
165,159220,40.0,Supervisory+RL
166,159200,40.0,Supervisory+RL
167,39180,40.0,Supervisory+RL
168,159180,40.0,Supervisory+RL
169,148180,40.0,Supervisory+RL
170,199180,40.0,Supervisory+RL
171,159220,40.0,Supervisory+RL
172,79170,40.0,Supervisory+RL
173,159190,40.0,Supervisory+RL
174,178260,40.0,Supervisory+RL
175,127220,40.0,Supervisory+RL
176,159180,40.0,Supervisory+RL
