,Number of Occurrences,xl,Event,Method
0,2,10,redo_A,Supervisory+RL
1,1,10,redo_A,Supervisory
2,2,10,redo_A,DQL
3,6,20,redo_A,Supervisory+RL
4,6,20,redo_A,Supervisory
5,0,20,redo_A,DQL
6,5,30,redo_A,Supervisory+RL
7,7,30,redo_A,Supervisory
8,0,30,redo_A,DQL
9,9,40,redo_A,Supervisory+RL
10,4,40,redo_A,Supervisory
11,0,40,redo_A,DQL
12,7,50,redo_A,Supervisory+RL
13,3,50,redo_A,Supervisory
14,0,50,redo_A,DQL
15,4,60,redo_A,Supervisory+RL
16,2,60,redo_A,Supervisory
17,0,60,redo_A,DQL
18,4,70,redo_A,Supervisory+RL
19,3,70,redo_A,Supervisory
20,0,70,redo_A,DQL
21,15,80,redo_A,Supervisory+RL
22,2,80,redo_A,Supervisory
23,0,80,redo_A,DQL
24,7,90,redo_A,Supervisory+RL
25,10,90,redo_A,Supervisory
26,0,90,redo_A,DQL
27,19,10,redo_B,Supervisory+RL
28,6,10,redo_B,Supervisory
29,9,10,redo_B,DQL
30,20,20,redo_B,Supervisory+RL
31,4,20,redo_B,Supervisory
32,0,20,redo_B,DQL
33,11,30,redo_B,Supervisory+RL
34,6,30,redo_B,Supervisory
35,0,30,redo_B,DQL
36,17,40,redo_B,Supervisory+RL
37,6,40,redo_B,Supervisory
38,1,40,redo_B,DQL
39,17,50,redo_B,Supervisory+RL
40,8,50,redo_B,Supervisory
41,1,50,redo_B,DQL
42,20,60,redo_B,Supervisory+RL
43,2,60,redo_B,Supervisory
44,0,60,redo_B,DQL
45,18,70,redo_B,Supervisory+RL
46,7,70,redo_B,Supervisory
47,3,70,redo_B,DQL
48,19,80,redo_B,Supervisory+RL
49,4,80,redo_B,Supervisory
50,0,80,redo_B,DQL
51,21,90,redo_B,Supervisory+RL
52,5,90,redo_B,Supervisory
53,1,90,redo_B,DQL
