,yl,xl,method
0,159220,10,Supervisory+RL
1,98210,10,Supervisory+RL
2,159220,10,Supervisory+RL
3,199160,10,Supervisory+RL
4,169160,10,Supervisory+RL
5,159180,10,Supervisory+RL
6,178260,10,Supervisory+RL
7,148150,10,Supervisory+RL
8,169170,10,Supervisory+RL
9,108200,10,Supervisory+RL
10,89190,10,Supervisory+RL
11,178260,10,Supervisory+RL
12,159220,10,Supervisory+RL
13,129160,10,Supervisory+RL
14,178210,10,Supervisory+RL
15,167260,10,Supervisory+RL
16,119120,10,Supervisory+RL
17,178260,10,Supervisory+RL
18,199170,10,Supervisory+RL
19,178260,10,Supervisory+RL
20,169220,10,Supervisory+RL
21,169230,10,Supervisory+RL
22,129170,10,Supervisory+RL
23,119180,10,Supervisory+RL
24,119220,10,Supervisory+RL
25,188160,10,Supervisory+RL
26,119180,10,Supervisory+RL
27,68160,10,Supervisory+RL
28,79190,10,Supervisory+RL
29,79190,10,Supervisory+RL
30,119120,10,Supervisory+RL
31,199220,10,Supervisory+RL
32,199230,10,Supervisory+RL
33,79180,10,Supervisory+RL
34,159180,10,Supervisory+RL
35,199180,10,Supervisory+RL
36,159190,10,Supervisory+RL
37,138240,10,Supervisory+RL
38,199220,10,Supervisory+RL
39,199220,10,Supervisory+RL
40,169190,10,Supervisory+RL
41,77260,10,Supervisory+RL
42,188220,10,Supervisory+RL
43,79170,10,Supervisory+RL
44,178220,10,Supervisory+RL
45,138220,10,Supervisory+RL
46,108150,10,Supervisory+RL
47,169190,10,Supervisory+RL
48,138260,10,Supervisory+RL
49,178260,10,Supervisory+RL
50,198100,20,Supervisory+RL
51,138240,20,Supervisory+RL
52,95650,20,Supervisory+RL
53,179060,20,Supervisory+RL
54,148140,20,Supervisory+RL
55,209180,20,Supervisory+RL
56,219090,20,Supervisory+RL
57,159200,20,Supervisory+RL
58,159220,20,Supervisory+RL
59,118140,20,Supervisory+RL
60,219030,20,Supervisory+RL
61,158140,20,Supervisory+RL
62,219050,20,Supervisory+RL
63,129160,20,Supervisory+RL
64,118080,20,Supervisory+RL
65,159220,20,Supervisory+RL
66,178200,20,Supervisory+RL
67,209120,20,Supervisory+RL
68,188170,20,Supervisory+RL
69,188210,20,Supervisory+RL
70,199190,20,Supervisory+RL
71,219140,20,Supervisory+RL
72,199220,20,Supervisory+RL
73,108200,20,Supervisory+RL
74,149100,20,Supervisory+RL
75,178260,20,Supervisory+RL
76,209160,20,Supervisory+RL
77,138220,20,Supervisory+RL
78,127250,20,Supervisory+RL
79,159170,20,Supervisory+RL
80,199150,20,Supervisory+RL
81,169230,20,Supervisory+RL
82,179100,20,Supervisory+RL
83,97150,20,Supervisory+RL
84,188200,20,Supervisory+RL
85,139100,20,Supervisory+RL
86,129100,20,Supervisory+RL
87,188220,20,Supervisory+RL
88,209120,20,Supervisory+RL
89,199130,20,Supervisory+RL
90,169090,20,Supervisory+RL
91,209140,20,Supervisory+RL
92,169120,20,Supervisory+RL
93,209160,20,Supervisory+RL
94,167220,20,Supervisory+RL
95,219100,20,Supervisory+RL
96,159230,20,Supervisory+RL
97,136420,20,Supervisory+RL
98,155540,20,Supervisory+RL
99,138260,20,Supervisory+RL
100,164120,30,Supervisory+RL
101,179090,30,Supervisory+RL
102,187190,30,Supervisory+RL
103,188140,30,Supervisory+RL
104,154160,30,Supervisory+RL
105,219000,30,Supervisory+RL
106,229110,30,Supervisory+RL
107,228990,30,Supervisory+RL
108,94040,30,Supervisory+RL
109,199220,30,Supervisory+RL
110,219170,30,Supervisory+RL
111,239050,30,Supervisory+RL
112,103110,30,Supervisory+RL
113,168040,30,Supervisory+RL
114,139130,30,Supervisory+RL
115,33080,30,Supervisory+RL
116,179050,30,Supervisory+RL
117,164070,30,Supervisory+RL
118,124110,30,Supervisory+RL
119,124170,30,Supervisory+RL
120,148170,30,Supervisory+RL
121,239050,30,Supervisory+RL
122,109100,30,Supervisory+RL
123,219050,30,Supervisory+RL
124,188200,30,Supervisory+RL
125,219080,30,Supervisory+RL
126,198140,30,Supervisory+RL
127,229000,30,Supervisory+RL
128,139120,30,Supervisory+RL
129,219100,30,Supervisory+RL
130,168110,30,Supervisory+RL
131,198220,30,Supervisory+RL
132,189060,30,Supervisory+RL
133,164080,30,Supervisory+RL
134,134070,30,Supervisory+RL
135,153040,30,Supervisory+RL
136,139070,30,Supervisory+RL
137,188970,30,Supervisory+RL
138,189060,30,Supervisory+RL
139,239050,30,Supervisory+RL
140,179100,30,Supervisory+RL
141,179050,30,Supervisory+RL
142,219050,30,Supervisory+RL
143,239050,30,Supervisory+RL
144,158130,30,Supervisory+RL
145,168150,30,Supervisory+RL
146,229110,30,Supervisory+RL
147,229040,30,Supervisory+RL
148,118140,30,Supervisory+RL
149,158100,30,Supervisory+RL
150,199170,40,Supervisory+RL
151,158090,40,Supervisory+RL
152,188230,40,Supervisory+RL
153,167240,40,Supervisory+RL
154,130700,40,Supervisory+RL
155,158140,40,Supervisory+RL
156,219060,40,Supervisory+RL
157,188240,40,Supervisory+RL
158,209120,40,Supervisory+RL
159,208120,40,Supervisory+RL
160,169160,40,Supervisory+RL
161,198170,40,Supervisory+RL
162,177250,40,Supervisory+RL
163,188200,40,Supervisory+RL
164,219130,40,Supervisory+RL
165,188200,40,Supervisory+RL
166,199140,40,Supervisory+RL
167,198210,40,Supervisory+RL
168,158210,40,Supervisory+RL
169,158140,40,Supervisory+RL
170,219120,40,Supervisory+RL
171,189070,40,Supervisory+RL
172,198090,40,Supervisory+RL
173,118100,40,Supervisory+RL
174,158140,40,Supervisory+RL
175,209180,40,Supervisory+RL
176,219100,40,Supervisory+RL
177,179120,40,Supervisory+RL
178,179080,40,Supervisory+RL
179,198140,40,Supervisory+RL
180,209110,40,Supervisory+RL
181,209120,40,Supervisory+RL
182,219140,40,Supervisory+RL
183,138130,40,Supervisory+RL
184,188200,40,Supervisory+RL
185,198140,40,Supervisory+RL
186,219090,40,Supervisory+RL
187,199210,40,Supervisory+RL
188,219130,40,Supervisory+RL
189,209100,40,Supervisory+RL
190,199190,40,Supervisory+RL
191,108140,40,Supervisory+RL
192,219150,40,Supervisory+RL
193,169130,40,Supervisory+RL
194,169160,40,Supervisory+RL
195,68240,40,Supervisory+RL
196,60630,40,Supervisory+RL
197,219140,40,Supervisory+RL
198,169230,40,Supervisory+RL
199,169170,40,Supervisory+RL
200,159270,50,Supervisory+RL
201,108190,50,Supervisory+RL
202,129020,50,Supervisory+RL
203,148220,50,Supervisory+RL
204,219090,50,Supervisory+RL
205,208010,50,Supervisory+RL
206,77300,50,Supervisory+RL
207,188200,50,Supervisory+RL
208,229070,50,Supervisory+RL
209,89110,50,Supervisory+RL
210,79050,50,Supervisory+RL
211,129020,50,Supervisory+RL
212,209230,50,Supervisory+RL
213,199210,50,Supervisory+RL
214,229120,50,Supervisory+RL
215,137080,50,Supervisory+RL
216,209140,50,Supervisory+RL
217,129190,50,Supervisory+RL
218,138140,50,Supervisory+RL
219,177140,50,Supervisory+RL
220,178050,50,Supervisory+RL
221,208090,50,Supervisory+RL
222,209150,50,Supervisory+RL
223,188210,50,Supervisory+RL
224,168150,50,Supervisory+RL
225,128100,50,Supervisory+RL
226,129100,50,Supervisory+RL
227,119130,50,Supervisory+RL
228,189000,50,Supervisory+RL
229,119190,50,Supervisory+RL
230,219080,50,Supervisory+RL
231,179100,50,Supervisory+RL
232,229100,50,Supervisory+RL
233,198140,50,Supervisory+RL
234,139040,50,Supervisory+RL
235,159200,50,Supervisory+RL
236,199260,50,Supervisory+RL
237,179120,50,Supervisory+RL
238,108120,50,Supervisory+RL
239,209130,50,Supervisory+RL
240,219060,50,Supervisory+RL
241,158180,50,Supervisory+RL
242,129140,50,Supervisory+RL
243,189050,50,Supervisory+RL
244,158990,50,Supervisory+RL
245,157280,50,Supervisory+RL
246,129120,50,Supervisory+RL
247,219100,50,Supervisory+RL
248,127200,50,Supervisory+RL
249,208100,50,Supervisory+RL
250,209060,60,Supervisory+RL
251,199150,60,Supervisory+RL
252,125690,60,Supervisory+RL
253,157300,60,Supervisory+RL
254,209210,60,Supervisory+RL
255,167230,60,Supervisory+RL
256,169160,60,Supervisory+RL
257,106650,60,Supervisory+RL
258,158170,60,Supervisory+RL
259,199210,60,Supervisory+RL
260,209150,60,Supervisory+RL
261,219100,60,Supervisory+RL
262,169170,60,Supervisory+RL
263,33070,60,Supervisory+RL
264,219100,60,Supervisory+RL
265,148200,60,Supervisory+RL
266,219130,60,Supervisory+RL
267,169200,60,Supervisory+RL
268,179130,60,Supervisory+RL
