,yl,xl,method
0,-71280,10,DQL
1,-1370,10,DQL
2,-2330,10,DQL
3,17820,10,DQL
4,-61370,10,DQL
5,78660,10,DQL
6,77690,10,DQL
7,147660,10,DQL
8,208570,10,DQL
9,158570,10,DQL
10,128610,10,DQL
11,168320,10,DQL
12,198670,10,DQL
13,198370,10,DQL
14,198390,10,DQL
15,208230,10,DQL
16,198580,10,DQL
17,198380,10,DQL
18,198270,10,DQL
19,198290,10,DQL
20,198230,10,DQL
21,198250,10,DQL
22,198610,10,DQL
23,198290,10,DQL
24,198230,10,DQL
25,198230,10,DQL
26,-161240,10,DQL
27,-201170,10,DQL
28,-201170,10,DQL
29,-161240,10,DQL
30,-41240,10,DQL
31,198460,10,DQL
32,198270,10,DQL
33,198230,10,DQL
34,198230,10,DQL
35,198230,10,DQL
36,198230,10,DQL
37,198270,10,DQL
38,198270,10,DQL
39,198230,10,DQL
40,198230,10,DQL
41,198230,10,DQL
42,198230,10,DQL
43,198270,10,DQL
44,208210,10,DQL
45,198230,10,DQL
46,198230,10,DQL
47,198230,10,DQL
48,198230,10,DQL
49,198230,10,DQL
50,198230,10,DQL
51,198230,10,DQL
52,198230,10,DQL
53,198230,10,DQL
54,198230,10,DQL
55,198230,10,DQL
56,198230,10,DQL
57,198230,10,DQL
58,198230,10,DQL
59,198230,10,DQL
60,198230,10,DQL
61,198230,10,DQL
62,198230,10,DQL
63,198230,10,DQL
64,198300,10,DQL
65,198390,10,DQL
66,198460,10,DQL
67,198460,10,DQL
68,198460,10,DQL
69,198390,10,DQL
70,198350,10,DQL
71,198350,10,DQL
72,198310,10,DQL
73,198630,10,DQL
74,198660,10,DQL
75,198660,10,DQL
76,198660,10,DQL
77,198660,10,DQL
78,198660,10,DQL
79,198670,10,DQL
80,198680,10,DQL
81,198680,10,DQL
82,198670,10,DQL
83,198690,10,DQL
84,198680,10,DQL
85,198670,10,DQL
86,198680,10,DQL
87,198670,10,DQL
88,198680,10,DQL
89,198680,10,DQL
90,198680,10,DQL
91,198680,10,DQL
92,198680,10,DQL
93,198670,10,DQL
94,198670,10,DQL
95,198680,10,DQL
96,198680,10,DQL
97,198310,10,DQL
98,198310,10,DQL
99,198350,10,DQL
100,198310,20,DQL
101,198350,20,DQL
102,198310,20,DQL
103,198310,20,DQL
104,198310,20,DQL
105,198620,20,DQL
106,198350,20,DQL
107,198400,20,DQL
108,198330,20,DQL
109,158350,20,DQL
110,198640,20,DQL
111,198630,20,DQL
112,198660,20,DQL
113,198650,20,DQL
114,198660,20,DQL
115,198660,20,DQL
116,198650,20,DQL
117,198660,20,DQL
118,198660,20,DQL
119,198650,20,DQL
120,198660,20,DQL
121,198680,20,DQL
122,198680,20,DQL
123,198680,20,DQL
124,158690,20,DQL
125,198630,20,DQL
126,198680,20,DQL
127,198640,20,DQL
128,198650,20,DQL
129,158670,20,DQL
130,198680,20,DQL
131,198680,20,DQL
132,158650,20,DQL
133,198680,20,DQL
134,198680,20,DQL
135,198680,20,DQL
136,198650,20,DQL
137,198680,20,DQL
138,198650,20,DQL
139,198680,20,DQL
140,198680,20,DQL
141,198680,20,DQL
142,198660,20,DQL
143,198680,20,DQL
144,198680,20,DQL
145,158680,20,DQL
146,198680,20,DQL
147,198680,20,DQL
148,198680,20,DQL
149,198680,20,DQL
150,198680,20,DQL
151,158670,20,DQL
152,158680,20,DQL
153,158670,20,DQL
154,198680,20,DQL
155,198650,20,DQL
156,198680,20,DQL
157,198680,20,DQL
158,198680,20,DQL
159,198650,20,DQL
160,198650,20,DQL
161,198650,20,DQL
162,198650,20,DQL
163,198650,20,DQL
164,198650,20,DQL
165,198680,20,DQL
166,198650,20,DQL
167,198670,20,DQL
168,198650,20,DQL
169,198670,20,DQL
170,158680,20,DQL
171,198670,20,DQL
172,198670,20,DQL
173,198650,20,DQL
174,198650,20,DQL
175,198670,20,DQL
176,198670,20,DQL
177,198670,20,DQL
178,198690,20,DQL
179,198670,20,DQL
180,198650,20,DQL
181,198670,20,DQL
182,198650,20,DQL
183,198650,20,DQL
184,198630,20,DQL
185,198630,20,DQL
186,198670,20,DQL
187,198650,20,DQL
188,198670,20,DQL
189,198670,20,DQL
190,198670,20,DQL
191,198650,20,DQL
192,198670,20,DQL
193,198660,20,DQL
194,198670,20,DQL
195,198650,20,DQL
196,198670,20,DQL
197,198670,20,DQL
198,198670,20,DQL
199,198670,20,DQL
200,198670,30,DQL
201,198670,30,DQL
202,198670,30,DQL
203,198670,30,DQL
204,198670,30,DQL
205,198650,30,DQL
206,198650,30,DQL
207,198650,30,DQL
208,198670,30,DQL
209,198670,30,DQL
210,198650,30,DQL
211,198650,30,DQL
212,198670,30,DQL
213,198650,30,DQL
214,198670,30,DQL
215,198610,30,DQL
216,198670,30,DQL
217,198690,30,DQL
218,198670,30,DQL
219,198670,30,DQL
220,198670,30,DQL
221,198670,30,DQL
222,198670,30,DQL
223,198670,30,DQL
224,198670,30,DQL
225,198670,30,DQL
226,198670,30,DQL
227,198650,30,DQL
228,198670,30,DQL
229,198670,30,DQL
230,198670,30,DQL
231,198670,30,DQL
232,198670,30,DQL
233,198670,30,DQL
234,198670,30,DQL
235,198670,30,DQL
236,198670,30,DQL
237,198670,30,DQL
238,198670,30,DQL
239,198670,30,DQL
240,198670,30,DQL
241,198670,30,DQL
242,158700,30,DQL
243,198670,30,DQL
244,198670,30,DQL
245,198670,30,DQL
246,198670,30,DQL
247,198670,30,DQL
248,198670,30,DQL
249,198670,30,DQL
