sct,nsarsa,deep
-13134.92888888889,69970.05111111111,296100.16222222225
-122024.08,-47447.57111111111,229557.02666666667
-44048.08,47371.25111111111,282102.03
-13769.615555555556,63819.822222222225,309298.3411111111
-37197.54222222222,38340.86,246226.61666666667
-79094.36444444445,8608.475555555555,285779.4
-10076.937777777777,59238.66,298502.3822222222
-61478.58888888889,30767.584444444445,282053.8611111111
-34643.648888888885,29649.16222222222,282572.5755555556
-62203.98222222222,26200.02,264345.7911111111
-58020.491111111114,33776.60444444444,304046.93888888886
-66834.71555555555,26967.484444444446,289987.74
5013.9,88159.82666666666,310253.33777777775
-49041.79555555555,39537.904444444444,277543.4088888889
-34022.62666666666,49799.066666666666,292684.8077777778
-78221.40222222223,8538.766666666666,274857.6188888889
7240.946666666667,71944.51333333334,286348.86666666664
-31532.96,53202.25111111111,256933.78555555554
6194.357777777778,78578.44,247508.66888888887
-27886.03777777778,58924.875555555554,270734.02777777775
