,yl,xl,method
0,116740,10.0,Supervisory+RL
1,168580,10.0,Supervisory+RL
2,78600,10.0,Supervisory+RL
3,207580,10.0,Supervisory+RL
4,118550,10.0,Supervisory+RL
5,157730,10.0,Supervisory+RL
6,168540,10.0,Supervisory+RL
7,6830,10.0,Supervisory+RL
8,-53140,10.0,Supervisory+RL
9,148470,10.0,Supervisory+RL
10,35070,10.0,Supervisory+RL
11,175580,10.0,Supervisory+RL
12,88640,10.0,Supervisory+RL
13,76840,10.0,Supervisory+RL
14,86820,10.0,Supervisory+RL
15,145850,10.0,Supervisory+RL
16,98620,10.0,Supervisory+RL
17,95970,10.0,Supervisory+RL
18,218550,10.0,Supervisory+RL
19,148490,10.0,Supervisory+RL
20,38680,10.0,Supervisory+RL
21,207630,10.0,Supervisory+RL
22,36850,10.0,Supervisory+RL
23,88550,10.0,Supervisory+RL
24,98730,10.0,Supervisory+RL
25,168590,10.0,Supervisory+RL
26,228490,10.0,Supervisory+RL
27,88670,10.0,Supervisory+RL
28,88530,10.0,Supervisory+RL
29,138470,10.0,Supervisory+RL
30,137810,10.0,Supervisory+RL
31,147670,10.0,Supervisory+RL
32,156000,10.0,Supervisory+RL
33,98530,10.0,Supervisory+RL
34,198490,10.0,Supervisory+RL
35,25970,10.0,Supervisory+RL
36,128590,10.0,Supervisory+RL
37,138630,10.0,Supervisory+RL
38,128540,10.0,Supervisory+RL
39,107690,10.0,Supervisory+RL
40,37660,10.0,Supervisory+RL
41,77580,10.0,Supervisory+RL
42,137840,10.0,Supervisory+RL
43,27630,10.0,Supervisory+RL
44,48660,10.0,Supervisory+RL
45,-21370,10.0,Supervisory+RL
46,128660,10.0,Supervisory+RL
47,187730,10.0,Supervisory+RL
48,136810,10.0,Supervisory+RL
49,178550,10.0,Supervisory+RL
50,128580,20.0,Supervisory+RL
51,107820,20.0,Supervisory+RL
52,107670,20.0,Supervisory+RL
53,127640,20.0,Supervisory+RL
54,87610,20.0,Supervisory+RL
55,228350,20.0,Supervisory+RL
56,98480,20.0,Supervisory+RL
57,108660,20.0,Supervisory+RL
58,-122290,20.0,Supervisory+RL
59,118730,20.0,Supervisory+RL
60,137750,20.0,Supervisory+RL
61,117700,20.0,Supervisory+RL
62,-1240,20.0,Supervisory+RL
63,-32250,20.0,Supervisory+RL
64,158680,20.0,Supervisory+RL
65,57840,20.0,Supervisory+RL
66,178560,20.0,Supervisory+RL
67,126750,20.0,Supervisory+RL
68,48640,20.0,Supervisory+RL
69,35900,20.0,Supervisory+RL
70,107610,20.0,Supervisory+RL
71,218500,20.0,Supervisory+RL
72,197730,20.0,Supervisory+RL
73,15860,20.0,Supervisory+RL
74,88640,20.0,Supervisory+RL
75,157650,20.0,Supervisory+RL
76,117740,20.0,Supervisory+RL
77,138570,20.0,Supervisory+RL
78,118610,20.0,Supervisory+RL
79,178440,20.0,Supervisory+RL
80,168640,20.0,Supervisory+RL
81,148420,20.0,Supervisory+RL
82,-22320,20.0,Supervisory+RL
83,156640,20.0,Supervisory+RL
84,108450,20.0,Supervisory+RL
85,108400,20.0,Supervisory+RL
86,117720,20.0,Supervisory+RL
87,178560,20.0,Supervisory+RL
88,115870,20.0,Supervisory+RL
89,48780,20.0,Supervisory+RL
90,147750,20.0,Supervisory+RL
91,48540,20.0,Supervisory+RL
92,7580,20.0,Supervisory+RL
93,-22380,20.0,Supervisory+RL
94,78570,20.0,Supervisory+RL
95,47680,20.0,Supervisory+RL
96,67620,20.0,Supervisory+RL
97,167640,20.0,Supervisory+RL
98,128570,20.0,Supervisory+RL
99,88620,20.0,Supervisory+RL
100,-61510,30.000000000000004,Supervisory+RL
101,128680,30.000000000000004,Supervisory+RL
102,228510,30.000000000000004,Supervisory+RL
103,56670,30.000000000000004,Supervisory+RL
104,98600,30.000000000000004,Supervisory+RL
105,98610,30.000000000000004,Supervisory+RL
106,97640,30.000000000000004,Supervisory+RL
107,57750,30.000000000000004,Supervisory+RL
108,188520,30.000000000000004,Supervisory+RL
109,105930,30.000000000000004,Supervisory+RL
110,65780,30.000000000000004,Supervisory+RL
111,147570,30.000000000000004,Supervisory+RL
112,128610,30.000000000000004,Supervisory+RL
113,66560,30.000000000000004,Supervisory+RL
114,86900,30.000000000000004,Supervisory+RL
115,88490,30.000000000000004,Supervisory+RL
116,136710,30.000000000000004,Supervisory+RL
117,188420,30.000000000000004,Supervisory+RL
118,127660,30.000000000000004,Supervisory+RL
119,157670,30.000000000000004,Supervisory+RL
120,75800,30.000000000000004,Supervisory+RL
121,26800,30.000000000000004,Supervisory+RL
122,178590,30.000000000000004,Supervisory+RL
123,98600,30.000000000000004,Supervisory+RL
124,66790,30.000000000000004,Supervisory+RL
125,136670,30.000000000000004,Supervisory+RL
126,107680,30.000000000000004,Supervisory+RL
127,138540,30.000000000000004,Supervisory+RL
128,27620,30.000000000000004,Supervisory+RL
129,87650,30.000000000000004,Supervisory+RL
130,136730,30.000000000000004,Supervisory+RL
131,238430,30.000000000000004,Supervisory+RL
132,56680,30.000000000000004,Supervisory+RL
133,118530,30.000000000000004,Supervisory+RL
134,108550,30.000000000000004,Supervisory+RL
135,48450,30.000000000000004,Supervisory+RL
136,207620,30.000000000000004,Supervisory+RL
137,-41400,30.000000000000004,Supervisory+RL
138,127560,30.000000000000004,Supervisory+RL
139,48580,30.000000000000004,Supervisory+RL
140,57650,30.000000000000004,Supervisory+RL
141,157570,30.000000000000004,Supervisory+RL
142,87550,30.000000000000004,Supervisory+RL
143,-31390,30.000000000000004,Supervisory+RL
144,16680,30.000000000000004,Supervisory+RL
145,157580,30.000000000000004,Supervisory+RL
146,86740,30.000000000000004,Supervisory+RL
147,147620,30.000000000000004,Supervisory+RL
148,186750,30.000000000000004,Supervisory+RL
149,47660,30.000000000000004,Supervisory+RL
150,128640,40.0,Supervisory+RL
151,107730,40.0,Supervisory+RL
152,17590,40.0,Supervisory+RL
153,8430,40.0,Supervisory+RL
154,127590,40.0,Supervisory+RL
155,178590,40.0,Supervisory+RL
156,38610,40.0,Supervisory+RL
157,-51390,40.0,Supervisory+RL
158,97710,40.0,Supervisory+RL
159,78520,40.0,Supervisory+RL
160,57760,40.0,Supervisory+RL
161,86640,40.0,Supervisory+RL
162,176800,40.0,Supervisory+RL
163,137710,40.0,Supervisory+RL
164,-22370,40.0,Supervisory+RL
165,127660,40.0,Supervisory+RL
166,58610,40.0,Supervisory+RL
167,47790,40.0,Supervisory+RL
168,188520,40.0,Supervisory+RL
169,207590,40.0,Supervisory+RL
170,158530,40.0,Supervisory+RL
171,27740,40.0,Supervisory+RL
172,147590,40.0,Supervisory+RL
173,168640,40.0,Supervisory+RL
174,168490,40.0,Supervisory+RL
175,17800,40.0,Supervisory+RL
176,78560,40.0,Supervisory+RL
177,67800,40.0,Supervisory+RL
178,-1430,40.0,Supervisory+RL
179,78600,40.0,Supervisory+RL
180,108560,40.0,Supervisory+RL
181,157670,40.0,Supervisory+RL
182,138610,40.0,Supervisory+RL
183,-43180,40.0,Supervisory+RL
184,88510,40.0,Supervisory+RL
185,178560,40.0,Supervisory+RL
186,98560,40.0,Supervisory+RL
187,-31320,40.0,Supervisory+RL
188,76790,40.0,Supervisory+RL
189,136630,40.0,Supervisory+RL
190,127770,40.0,Supervisory+RL
191,117600,40.0,Supervisory+RL
192,168600,40.0,Supervisory+RL
193,78450,40.0,Supervisory+RL
194,77680,40.0,Supervisory+RL
195,178600,40.0,Supervisory+RL
196,116610,40.0,Supervisory+RL
197,125070,40.0,Supervisory+RL
198,228600,40.0,Supervisory+RL
199,197680,40.0,Supervisory+RL
200,128560,50.0,Supervisory+RL
201,157710,50.0,Supervisory+RL
202,107870,50.0,Supervisory+RL
203,68620,50.0,Supervisory+RL
204,138440,50.0,Supervisory+RL
205,107670,50.0,Supervisory+RL
206,207630,50.0,Supervisory+RL
207,148510,50.0,Supervisory+RL
208,47770,50.0,Supervisory+RL
209,118560,50.0,Supervisory+RL
210,27620,50.0,Supervisory+RL
211,96760,50.0,Supervisory+RL
212,127560,50.0,Supervisory+RL
213,188620,50.0,Supervisory+RL
214,136690,50.0,Supervisory+RL
215,38510,50.0,Supervisory+RL
216,37610,50.0,Supervisory+RL
217,27670,50.0,Supervisory+RL
218,86570,50.0,Supervisory+RL
219,98640,50.0,Supervisory+RL
220,107610,50.0,Supervisory+RL
221,78500,50.0,Supervisory+RL
222,-4090,50.0,Supervisory+RL
223,77680,50.0,Supervisory+RL
224,167670,50.0,Supervisory+RL
225,148490,50.0,Supervisory+RL
226,176820,50.0,Supervisory+RL
227,116630,50.0,Supervisory+RL
228,178610,50.0,Supervisory+RL
229,178580,50.0,Supervisory+RL
230,136670,50.0,Supervisory+RL
231,97620,50.0,Supervisory+RL
232,117580,50.0,Supervisory+RL
233,128670,50.0,Supervisory+RL
234,88510,50.0,Supervisory+RL
235,148400,50.0,Supervisory+RL
236,66680,50.0,Supervisory+RL
237,188460,50.0,Supervisory+RL
238,186650,50.0,Supervisory+RL
239,146720,50.0,Supervisory+RL
240,-1470,50.0,Supervisory+RL
241,178470,50.0,Supervisory+RL
242,87600,50.0,Supervisory+RL
243,188560,50.0,Supervisory+RL
244,97720,50.0,Supervisory+RL
245,58420,50.0,Supervisory+RL
246,57610,50.0,Supervisory+RL
247,78630,50.0,Supervisory+RL
248,88510,50.0,Supervisory+RL
249,188560,50.0,Supervisory+RL
250,108590,60.0,Supervisory+RL
251,47500,60.0,Supervisory+RL
252,138480,60.0,Supervisory+RL
253,8520,60.0,Supervisory+RL
254,57680,60.0,Supervisory+RL
255,168330,60.0,Supervisory+RL
256,37600,60.0,Supervisory+RL
257,157590,60.0,Supervisory+RL
258,87550,60.0,Supervisory+RL
259,68590,60.0,Supervisory+RL
260,188580,60.0,Supervisory+RL
261,87690,60.0,Supervisory+RL
262,7560,60.0,Supervisory+RL
263,-51460,60.0,Supervisory+RL
264,97730,60.0,Supervisory+RL
265,167560,60.0,Supervisory+RL
266,58400,60.0,Supervisory+RL
267,198520,60.0,Supervisory+RL
268,67510,60.0,Supervisory+RL
269,106540,60.0,Supervisory+RL
270,78570,60.0,Supervisory+RL
271,16800,60.0,Supervisory+RL
272,138570,60.0,Supervisory+RL
273,97660,60.0,Supervisory+RL
274,146680,60.0,Supervisory+RL
275,105730,60.0,Supervisory+RL
276,117730,60.0,Supervisory+RL
277,28490,60.0,Supervisory+RL
278,125760,60.0,Supervisory+RL
279,107800,60.0,Supervisory+RL
280,128560,60.0,Supervisory+RL
281,-2240,60.0,Supervisory+RL
282,17720,60.0,Supervisory+RL
283,-32260,60.0,Supervisory+RL
284,88380,60.0,Supervisory+RL
285,86900,60.0,Supervisory+RL
286,57690,60.0,Supervisory+RL
287,48460,60.0,Supervisory+RL
288,167650,60.0,Supervisory+RL
289,117730,60.0,Supervisory+RL
290,107590,60.0,Supervisory+RL
291,-42270,60.0,Supervisory+RL
292,-22330,60.0,Supervisory+RL
293,126780,60.0,Supervisory+RL
294,18470,60.0,Supervisory+RL
295,-32390,60.0,Supervisory+RL
296,37680,60.0,Supervisory+RL
297,75870,60.0,Supervisory+RL
298,148430,60.0,Supervisory+RL
299,-3190,60.0,Supervisory+RL
300,88640,70.0,Supervisory+RL
301,128680,70.0,Supervisory+RL
302,68590,70.0,Supervisory+RL
303,67740,70.0,Supervisory+RL
304,18580,70.0,Supervisory+RL
305,5060,70.0,Supervisory+RL
306,28610,70.0,Supervisory+RL
307,-2280,70.0,Supervisory+RL
308,48650,70.0,Supervisory+RL
309,17650,70.0,Supervisory+RL
310,165710,70.0,Supervisory+RL
311,166800,70.0,Supervisory+RL
312,16630,70.0,Supervisory+RL
313,178590,70.0,Supervisory+RL
314,55880,70.0,Supervisory+RL
315,46630,70.0,Supervisory+RL
316,68740,70.0,Supervisory+RL
317,76870,70.0,Supervisory+RL
318,138610,70.0,Supervisory+RL
319,157670,70.0,Supervisory+RL
320,148560,70.0,Supervisory+RL
321,38660,70.0,Supervisory+RL
322,166680,70.0,Supervisory+RL
323,97730,70.0,Supervisory+RL
324,127690,70.0,Supervisory+RL
325,-32180,70.0,Supervisory+RL
326,58560,70.0,Supervisory+RL
327,17860,70.0,Supervisory+RL
328,-11420,70.0,Supervisory+RL
329,137670,70.0,Supervisory+RL
330,197640,70.0,Supervisory+RL
331,28640,70.0,Supervisory+RL
332,128670,70.0,Supervisory+RL
333,58570,70.0,Supervisory+RL
334,46800,70.0,Supervisory+RL
335,117760,70.0,Supervisory+RL
336,136690,70.0,Supervisory+RL
337,87740,70.0,Supervisory+RL
338,166720,70.0,Supervisory+RL
339,86820,70.0,Supervisory+RL
340,66730,70.0,Supervisory+RL
341,208590,70.0,Supervisory+RL
342,188550,70.0,Supervisory+RL
343,57870,70.0,Supervisory+RL
344,128740,70.0,Supervisory+RL
345,-12220,70.0,Supervisory+RL
346,88710,70.0,Supervisory+RL
347,136740,70.0,Supervisory+RL
348,38580,70.0,Supervisory+RL
349,48660,70.0,Supervisory+RL
350,-2300,80.0,Supervisory+RL
351,-1350,80.0,Supervisory+RL
352,94840,80.0,Supervisory+RL
353,157480,80.0,Supervisory+RL
354,155750,80.0,Supervisory+RL
355,68420,80.0,Supervisory+RL
356,-11390,80.0,Supervisory+RL
357,46870,80.0,Supervisory+RL
358,18640,80.0,Supervisory+RL
359,17730,80.0,Supervisory+RL
360,-64110,80.0,Supervisory+RL
361,58610,80.0,Supervisory+RL
362,108680,80.0,Supervisory+RL
363,-31570,80.0,Supervisory+RL
364,-103200,80.0,Supervisory+RL
365,76810,80.0,Supervisory+RL
366,128470,80.0,Supervisory+RL
367,18490,80.0,Supervisory+RL
368,26740,80.0,Supervisory+RL
369,67770,80.0,Supervisory+RL
370,116710,80.0,Supervisory+RL
371,137660,80.0,Supervisory+RL
372,26640,80.0,Supervisory+RL
373,58610,80.0,Supervisory+RL
374,157720,80.0,Supervisory+RL
375,78570,80.0,Supervisory+RL
376,167620,80.0,Supervisory+RL
377,48560,80.0,Supervisory+RL
378,88530,80.0,Supervisory+RL
379,76900,80.0,Supervisory+RL
380,78420,80.0,Supervisory+RL
381,-11410,80.0,Supervisory+RL
382,86640,80.0,Supervisory+RL
383,176750,80.0,Supervisory+RL
384,36750,80.0,Supervisory+RL
385,186740,80.0,Supervisory+RL
386,-42200,80.0,Supervisory+RL
387,218520,80.0,Supervisory+RL
388,87730,80.0,Supervisory+RL
389,28500,80.0,Supervisory+RL
390,128560,80.0,Supervisory+RL
391,178510,80.0,Supervisory+RL
392,127620,80.0,Supervisory+RL
393,-13220,80.0,Supervisory+RL
394,178530,80.0,Supervisory+RL
395,38650,80.0,Supervisory+RL
396,57590,80.0,Supervisory+RL
397,157650,80.0,Supervisory+RL
398,127470,80.0,Supervisory+RL
399,67650,80.0,Supervisory+RL
400,15810,90.0,Supervisory+RL
401,-84180,90.0,Supervisory+RL
402,147710,90.0,Supervisory+RL
403,-11550,90.0,Supervisory+RL
404,44990,90.0,Supervisory+RL
405,15820,90.0,Supervisory+RL
406,-51440,90.0,Supervisory+RL
407,65710,90.0,Supervisory+RL
408,208580,90.0,Supervisory+RL
409,-1270,90.0,Supervisory+RL
410,208630,90.0,Supervisory+RL
411,127670,90.0,Supervisory+RL
412,207520,90.0,Supervisory+RL
413,-22080,90.0,Supervisory+RL
414,43940,90.0,Supervisory+RL
415,16690,90.0,Supervisory+RL
416,-131370,90.0,Supervisory+RL
417,76640,90.0,Supervisory+RL
418,26890,90.0,Supervisory+RL
419,47820,90.0,Supervisory+RL
420,108620,90.0,Supervisory+RL
421,-11290,90.0,Supervisory+RL
422,117730,90.0,Supervisory+RL
423,38490,90.0,Supervisory+RL
424,208590,90.0,Supervisory+RL
425,67740,90.0,Supervisory+RL
426,18630,90.0,Supervisory+RL
427,176750,90.0,Supervisory+RL
428,-21460,90.0,Supervisory+RL
429,-112180,90.0,Supervisory+RL
430,7770,90.0,Supervisory+RL
431,6940,90.0,Supervisory+RL
432,136690,90.0,Supervisory+RL
433,57690,90.0,Supervisory+RL
434,97830,90.0,Supervisory+RL
435,7730,90.0,Supervisory+RL
436,-62210,90.0,Supervisory+RL
437,57750,90.0,Supervisory+RL
438,178480,90.0,Supervisory+RL
439,-32300,90.0,Supervisory+RL
440,36830,90.0,Supervisory+RL
441,17630,90.0,Supervisory+RL
442,78720,90.0,Supervisory+RL
443,7830,90.0,Supervisory+RL
444,78530,90.0,Supervisory+RL
445,37660,90.0,Supervisory+RL
446,167620,90.0,Supervisory+RL
447,-44250,90.0,Supervisory+RL
448,-2280,90.0,Supervisory+RL
449,-1320,90.0,Supervisory+RL
450,-41340,10.0,Supervisory
451,128610,10.0,Supervisory
452,-61320,10.0,Supervisory
453,136760,10.0,Supervisory
454,128530,10.0,Supervisory
455,37680,10.0,Supervisory
456,67680,10.0,Supervisory
457,-12230,10.0,Supervisory
458,-171390,10.0,Supervisory
459,98560,10.0,Supervisory
460,48610,10.0,Supervisory
461,28500,10.0,Supervisory
462,48600,10.0,Supervisory
463,-21400,10.0,Supervisory
464,-21380,10.0,Supervisory
465,88530,10.0,Supervisory
466,28580,10.0,Supervisory
467,58570,10.0,Supervisory
468,148520,10.0,Supervisory
469,38540,10.0,Supervisory
470,58560,10.0,Supervisory
471,8710,10.0,Supervisory
472,-1480,10.0,Supervisory
473,-61230,10.0,Supervisory
474,8590,10.0,Supervisory
475,108550,10.0,Supervisory
476,-71320,10.0,Supervisory
477,98580,10.0,Supervisory
478,-71300,10.0,Supervisory
479,-31320,10.0,Supervisory
480,-81350,10.0,Supervisory
481,18490,10.0,Supervisory
482,-41210,10.0,Supervisory
483,-1330,10.0,Supervisory
484,-21420,10.0,Supervisory
485,-42290,10.0,Supervisory
486,18460,10.0,Supervisory
487,77680,10.0,Supervisory
488,188490,10.0,Supervisory
489,18500,10.0,Supervisory
490,-31190,10.0,Supervisory
491,-31490,10.0,Supervisory
492,-31290,10.0,Supervisory
493,-1400,10.0,Supervisory
494,58590,10.0,Supervisory
495,67780,10.0,Supervisory
496,-91270,10.0,Supervisory
497,137550,10.0,Supervisory
498,-11540,10.0,Supervisory
499,37690,10.0,Supervisory
500,98540,20.0,Supervisory
501,-102140,20.0,Supervisory
502,17700,20.0,Supervisory
503,98560,20.0,Supervisory
504,-81240,20.0,Supervisory
505,98500,20.0,Supervisory
506,-41320,20.0,Supervisory
507,-51320,20.0,Supervisory
508,168650,20.0,Supervisory
509,48530,20.0,Supervisory
510,98580,20.0,Supervisory
511,98640,20.0,Supervisory
512,98560,20.0,Supervisory
513,78620,20.0,Supervisory
514,108450,20.0,Supervisory
515,148400,20.0,Supervisory
516,68460,20.0,Supervisory
517,-41350,20.0,Supervisory
518,-41400,20.0,Supervisory
519,138560,20.0,Supervisory
520,-51420,20.0,Supervisory
521,188510,20.0,Supervisory
522,148450,20.0,Supervisory
523,68490,20.0,Supervisory
524,58610,20.0,Supervisory
525,8680,20.0,Supervisory
526,48690,20.0,Supervisory
527,38570,20.0,Supervisory
528,38570,20.0,Supervisory
529,58530,20.0,Supervisory
530,-1390,20.0,Supervisory
531,58540,20.0,Supervisory
532,-1520,20.0,Supervisory
533,-41410,20.0,Supervisory
534,-52310,20.0,Supervisory
535,8520,20.0,Supervisory
536,-11520,20.0,Supervisory
537,-121230,20.0,Supervisory
538,27810,20.0,Supervisory
539,-41230,20.0,Supervisory
540,-61340,20.0,Supervisory
541,-81230,20.0,Supervisory
542,-111220,20.0,Supervisory
543,-33120,20.0,Supervisory
544,238470,20.0,Supervisory
545,-41470,20.0,Supervisory
546,38630,20.0,Supervisory
547,-22310,20.0,Supervisory
548,-21370,20.0,Supervisory
549,-22280,20.0,Supervisory
550,8580,30.000000000000004,Supervisory
551,68580,30.000000000000004,Supervisory
552,58560,30.000000000000004,Supervisory
553,-12260,30.000000000000004,Supervisory
554,58590,30.000000000000004,Supervisory
555,-1410,30.000000000000004,Supervisory
556,-11420,30.000000000000004,Supervisory
557,128650,30.000000000000004,Supervisory
558,-1400,30.000000000000004,Supervisory
559,-11440,30.000000000000004,Supervisory
560,27730,30.000000000000004,Supervisory
561,-141350,30.000000000000004,Supervisory
562,88490,30.000000000000004,Supervisory
563,118710,30.000000000000004,Supervisory
564,-11340,30.000000000000004,Supervisory
565,-41330,30.000000000000004,Supervisory
566,178520,30.000000000000004,Supervisory
