,Number of Occurrences,xl,Event,Method
0,10,10,redo_A,Supervisory+RL
1,5,10,redo_A,Supervisory 
2,4,10,redo_A,DQL
3,20,20,redo_A,Supervisory+RL
4,11,20,redo_A,Supervisory 
5,1,20,redo_A,DQL
6,22,30,redo_A,Supervisory+RL
7,8,30,redo_A,Supervisory 
8,0,30,redo_A,DQL
9,7,40,redo_A,Supervisory+RL
10,18,40,redo_A,Supervisory 
11,0,40,redo_A,DQL
12,38,50,redo_A,Supervisory+RL
13,19,50,redo_A,Supervisory 
14,0,50,redo_A,DQL
15,39,60,redo_A,Supervisory+RL
16,27,60,redo_A,Supervisory 
17,0,60,redo_A,DQL
18,2,70,redo_A,Supervisory+RL
19,28,70,redo_A,Supervisory 
20,0,70,redo_A,DQL
21,72,80,redo_A,Supervisory+RL
22,32,80,redo_A,Supervisory 
23,0,80,redo_A,DQL
24,82,90,redo_A,Supervisory+RL
25,53,90,redo_A,Supervisory 
26,0,90,redo_A,DQL
27,18,10,redo_B,Supervisory+RL
28,8,10,redo_B,Supervisory 
29,4,10,redo_B,DQL
30,17,20,redo_B,Supervisory+RL
31,6,20,redo_B,Supervisory 
32,0,20,redo_B,DQL
33,21,30,redo_B,Supervisory+RL
34,5,30,redo_B,Supervisory 
35,0,30,redo_B,DQL
36,18,40,redo_B,Supervisory+RL
37,5,40,redo_B,Supervisory 
38,0,40,redo_B,DQL
39,14,50,redo_B,Supervisory+RL
40,2,50,redo_B,Supervisory 
41,0,50,redo_B,DQL
42,21,60,redo_B,Supervisory+RL
43,6,60,redo_B,Supervisory 
44,0,60,redo_B,DQL
45,23,70,redo_B,Supervisory+RL
46,10,70,redo_B,Supervisory 
47,0,70,redo_B,DQL
48,12,80,redo_B,Supervisory+RL
49,9,80,redo_B,Supervisory 
50,0,80,redo_B,DQL
51,22,90,redo_B,Supervisory+RL
52,3,90,redo_B,Supervisory 
53,0,90,redo_B,DQL
