,yl,xl,method
0,-141290,10,DQL
1,-162150,10,DQL
2,-51430,10,DQL
3,78570,10,DQL
4,78590,10,DQL
5,58600,10,DQL
6,158500,10,DQL
7,158340,10,DQL
8,198630,10,DQL
9,158640,10,DQL
10,158640,10,DQL
11,198450,10,DQL
12,198350,10,DQL
13,198460,10,DQL
14,198370,10,DQL
15,198230,10,DQL
16,198300,10,DQL
17,198390,10,DQL
18,198550,10,DQL
19,198510,10,DQL
20,158610,10,DQL
21,158360,10,DQL
22,198410,10,DQL
23,198430,10,DQL
24,198530,10,DQL
25,198420,10,DQL
26,198490,10,DQL
27,198290,10,DQL
28,198190,10,DQL
29,198370,10,DQL
30,198470,10,DQL
31,198270,10,DQL
32,198350,10,DQL
33,198290,10,DQL
34,198380,10,DQL
35,198250,10,DQL
36,198340,10,DQL
37,198300,10,DQL
38,118290,10,DQL
39,-161180,10,DQL
40,198460,10,DQL
41,198460,10,DQL
42,198430,10,DQL
43,198450,10,DQL
44,158420,10,DQL
45,198460,10,DQL
46,198370,10,DQL
47,198390,10,DQL
48,198270,10,DQL
49,198270,10,DQL
50,198270,10,DQL
51,198310,10,DQL
52,198230,10,DQL
53,198230,10,DQL
54,198230,10,DQL
55,198230,10,DQL
56,198230,10,DQL
57,198230,10,DQL
58,198230,10,DQL
59,198230,10,DQL
60,198230,10,DQL
61,198230,10,DQL
62,198330,10,DQL
63,198230,10,DQL
64,198230,10,DQL
65,198230,10,DQL
66,198370,10,DQL
67,198230,10,DQL
68,198230,10,DQL
69,198230,10,DQL
70,198230,10,DQL
71,198230,10,DQL
72,198230,10,DQL
73,198230,10,DQL
74,198250,10,DQL
75,198230,10,DQL
76,198230,10,DQL
77,198230,10,DQL
78,198230,10,DQL
79,198270,10,DQL
80,198230,10,DQL
81,198230,10,DQL
82,198420,10,DQL
83,198460,10,DQL
84,198360,10,DQL
85,198500,10,DQL
86,198460,10,DQL
87,198500,10,DQL
88,198430,10,DQL
89,198640,10,DQL
90,198630,10,DQL
91,198640,10,DQL
92,198660,10,DQL
93,198490,10,DQL
94,198290,10,DQL
95,198270,10,DQL
96,198270,10,DQL
97,198250,10,DQL
98,198370,10,DQL
99,198450,10,DQL
100,198560,20,DQL
101,198560,20,DQL
102,198560,20,DQL
103,198490,20,DQL
104,198490,20,DQL
105,198490,20,DQL
106,198560,20,DQL
107,198500,20,DQL
108,198490,20,DQL
109,198560,20,DQL
110,198450,20,DQL
111,198490,20,DQL
112,198570,20,DQL
113,198550,20,DQL
114,198650,20,DQL
115,198650,20,DQL
116,198650,20,DQL
117,198500,20,DQL
118,198660,20,DQL
119,198420,20,DQL
120,198650,20,DQL
121,198700,20,DQL
122,198710,20,DQL
123,198690,20,DQL
124,198690,20,DQL
125,198690,20,DQL
126,158710,20,DQL
127,198690,20,DQL
128,198690,20,DQL
129,198690,20,DQL
130,198690,20,DQL
131,198690,20,DQL
132,198690,20,DQL
133,158530,20,DQL
134,198690,20,DQL
135,198690,20,DQL
136,198690,20,DQL
137,198690,20,DQL
138,198690,20,DQL
139,198690,20,DQL
140,198690,20,DQL
141,198690,20,DQL
142,198670,20,DQL
143,198670,20,DQL
144,198630,20,DQL
145,198630,20,DQL
146,198630,20,DQL
147,198630,20,DQL
148,198630,20,DQL
149,198630,20,DQL
150,198590,20,DQL
151,198630,20,DQL
152,198630,20,DQL
153,198630,20,DQL
154,198590,20,DQL
155,198630,20,DQL
156,198630,20,DQL
157,198630,20,DQL
158,198630,20,DQL
159,198630,20,DQL
160,198630,20,DQL
161,198650,20,DQL
162,198670,20,DQL
163,198670,20,DQL
164,198670,20,DQL
165,198670,20,DQL
166,198670,20,DQL
167,198670,20,DQL
168,158670,20,DQL
169,198670,20,DQL
170,198670,20,DQL
171,198670,20,DQL
172,198670,20,DQL
173,198670,20,DQL
174,201060,20,DQL
175,198670,20,DQL
176,198670,20,DQL
177,198670,20,DQL
178,198670,20,DQL
179,198670,20,DQL
180,198670,20,DQL
181,198670,20,DQL
182,198670,20,DQL
183,198670,20,DQL
184,201010,20,DQL
185,198670,20,DQL
186,198670,20,DQL
