,Number of Occurrences,xl,Event,Method
0,3,10,redo_A,DQL
1,0,20,redo_A,DQL
2,0,30,redo_A,DQL
3,0,40,redo_A,DQL
4,0,50,redo_A,DQL
5,0,60,redo_A,DQL
6,0,70,redo_A,DQL
7,0,80,redo_A,DQL
8,0,90,redo_A,DQL
9,4,10,redo_B,DQL
10,0,20,redo_B,DQL
11,0,30,redo_B,DQL
12,0,40,redo_B,DQL
13,0,50,redo_B,DQL
14,0,60,redo_B,DQL
15,0,70,redo_B,DQL
16,0,80,redo_B,DQL
17,0,90,redo_B,DQL
18,3,10,redo_A,DQL
19,0,20,redo_A,DQL
20,0,30,redo_A,DQL
21,0,40,redo_A,DQL
22,0,50,redo_A,DQL
23,0,60,redo_A,DQL
24,0,70,redo_A,DQL
25,0,80,redo_A,DQL
26,0,90,redo_A,DQL
27,4,10,redo_B,DQL
28,0,20,redo_B,DQL
29,0,30,redo_B,DQL
30,0,40,redo_B,DQL
31,0,50,redo_B,DQL
32,0,60,redo_B,DQL
33,0,70,redo_B,DQL
34,0,80,redo_B,DQL
35,0,90,redo_B,DQL
