,yl,xl,method
0,-120920,10,DQL
1,7140,10,DQL
2,-71960,10,DQL
3,9000,10,DQL
4,118180,10,DQL
5,99090,10,DQL
6,69160,10,DQL
7,139110,10,DQL
8,58140,10,DQL
9,167190,10,DQL
10,39140,10,DQL
11,119050,10,DQL
12,219060,10,DQL
13,209170,10,DQL
14,179090,10,DQL
15,169170,10,DQL
16,219110,10,DQL
17,169160,10,DQL
18,219180,10,DQL
19,209160,10,DQL
20,199300,10,DQL
21,209170,10,DQL
22,199180,10,DQL
23,199300,10,DQL
24,199270,10,DQL
25,199300,10,DQL
26,209240,10,DQL
27,199300,10,DQL
28,199230,10,DQL
29,209160,10,DQL
30,209160,10,DQL
31,199220,10,DQL
32,199300,10,DQL
33,199220,10,DQL
34,199220,10,DQL
35,199180,10,DQL
36,199230,10,DQL
37,199300,10,DQL
38,199220,10,DQL
39,209160,10,DQL
40,199180,10,DQL
41,199300,10,DQL
42,209150,10,DQL
43,199300,10,DQL
44,199300,10,DQL
45,199220,10,DQL
46,209140,10,DQL
47,209120,10,DQL
48,199300,10,DQL
49,209150,10,DQL
50,209240,10,DQL
51,219060,10,DQL
52,209170,10,DQL
53,199230,10,DQL
54,209120,10,DQL
55,199250,10,DQL
56,199270,10,DQL
57,179080,10,DQL
58,199200,10,DQL
59,199210,10,DQL
60,209160,10,DQL
61,209120,10,DQL
62,229120,10,DQL
63,199200,10,DQL
64,209170,10,DQL
65,169160,10,DQL
66,199270,10,DQL
67,199180,10,DQL
68,199220,10,DQL
69,199180,10,DQL
70,219070,10,DQL
71,209210,10,DQL
72,199230,10,DQL
73,199180,10,DQL
74,199220,10,DQL
75,199230,10,DQL
76,199210,10,DQL
77,219180,10,DQL
78,219060,10,DQL
79,219110,10,DQL
80,209090,10,DQL
81,199180,10,DQL
82,209190,10,DQL
83,199230,10,DQL
84,209170,10,DQL
85,209130,10,DQL
86,219030,10,DQL
87,199180,10,DQL
88,229090,10,DQL
89,199270,10,DQL
90,199300,10,DQL
91,199300,10,DQL
92,169150,10,DQL
93,209120,10,DQL
94,219080,10,DQL
95,199290,10,DQL
96,209210,10,DQL
97,199240,10,DQL
98,209140,10,DQL
99,199250,10,DQL
100,192100,20,DQL
101,202400,20,DQL
102,192200,20,DQL
103,193000,20,DQL
104,153000,20,DQL
105,210600,20,DQL
106,230600,20,DQL
107,193000,20,DQL
108,193000,20,DQL
109,202400,20,DQL
110,192700,20,DQL
111,193000,20,DQL
112,193000,20,DQL
113,201300,20,DQL
114,193000,20,DQL
115,193000,20,DQL
116,193000,20,DQL
117,201700,20,DQL
118,201100,20,DQL
119,193000,20,DQL
120,192700,20,DQL
121,192000,20,DQL
122,193000,20,DQL
123,193000,20,DQL
124,193000,20,DQL
125,211800,20,DQL
126,153000,20,DQL
127,201900,20,DQL
128,193000,20,DQL
129,193000,20,DQL
130,193000,20,DQL
131,192200,20,DQL
132,193000,20,DQL
133,193000,20,DQL
134,193000,20,DQL
135,193000,20,DQL
136,193000,20,DQL
137,153000,20,DQL
138,193000,20,DQL
139,192500,20,DQL
140,202100,20,DQL
141,193000,20,DQL
142,193000,20,DQL
143,193000,20,DQL
144,192500,20,DQL
145,202400,20,DQL
146,193000,20,DQL
147,202400,20,DQL
148,193000,20,DQL
149,193000,20,DQL
150,193000,20,DQL
151,192100,20,DQL
152,193000,20,DQL
153,193000,20,DQL
154,193000,20,DQL
155,193000,20,DQL
156,193000,20,DQL
157,193000,20,DQL
158,153000,20,DQL
159,193000,20,DQL
160,193000,20,DQL
161,193000,20,DQL
162,193000,20,DQL
163,192700,20,DQL
164,191900,20,DQL
165,192100,20,DQL
166,193000,20,DQL
167,193000,20,DQL
168,193000,20,DQL
169,193000,20,DQL
170,193000,20,DQL
171,193000,20,DQL
172,193000,20,DQL
173,193000,20,DQL
174,153000,20,DQL
175,193000,20,DQL
176,202400,20,DQL
177,202400,20,DQL
178,192500,20,DQL
179,193000,20,DQL
180,193000,20,DQL
181,202400,20,DQL
182,202400,20,DQL
183,202400,20,DQL
184,193000,20,DQL
185,193000,20,DQL
186,193000,20,DQL
187,192500,20,DQL
188,192300,20,DQL
189,193000,20,DQL
190,193000,20,DQL
191,193000,20,DQL
192,193000,20,DQL
193,193000,20,DQL
194,193000,20,DQL
195,192000,20,DQL
196,202400,20,DQL
197,202400,20,DQL
198,193000,20,DQL
199,202400,20,DQL
200,186000,30,DQL
201,193400,30,DQL
202,186000,30,DQL
203,186000,30,DQL
204,194800,30,DQL
205,186000,30,DQL
206,186000,30,DQL
207,186000,30,DQL
208,186000,30,DQL
209,186000,30,DQL
210,194800,30,DQL
211,186000,30,DQL
212,185000,30,DQL
213,185000,30,DQL
214,186000,30,DQL
215,186000,30,DQL
216,186000,30,DQL
217,185000,30,DQL
218,186000,30,DQL
219,186000,30,DQL
220,186000,30,DQL
221,186000,30,DQL
222,184600,30,DQL
223,184600,30,DQL
224,186000,30,DQL
225,186000,30,DQL
226,184600,30,DQL
227,186000,30,DQL
228,186000,30,DQL
229,185000,30,DQL
230,186000,30,DQL
231,186000,30,DQL
232,186000,30,DQL
233,186000,30,DQL
234,186000,30,DQL
235,183400,30,DQL
236,194800,30,DQL
237,186000,30,DQL
238,186000,30,DQL
239,186000,30,DQL
240,186000,30,DQL
241,194800,30,DQL
242,185000,30,DQL
243,146000,30,DQL
244,186000,30,DQL
245,186000,30,DQL
246,186000,30,DQL
247,185000,30,DQL
248,186000,30,DQL
249,186000,30,DQL
250,185000,30,DQL
251,186000,30,DQL
252,186000,30,DQL
253,186000,30,DQL
254,186000,30,DQL
255,186000,30,DQL
256,186000,30,DQL
257,186000,30,DQL
258,186000,30,DQL
259,186000,30,DQL
260,186000,30,DQL
261,186000,30,DQL
262,186000,30,DQL
263,186000,30,DQL
264,186000,30,DQL
265,186000,30,DQL
266,185000,30,DQL
267,186000,30,DQL
268,186000,30,DQL
269,146000,30,DQL
270,146000,30,DQL
271,186000,30,DQL
272,186000,30,DQL
273,184600,30,DQL
274,186000,30,DQL
275,183400,30,DQL
276,186000,30,DQL
277,193400,30,DQL
278,186000,30,DQL
279,194800,30,DQL
280,185800,30,DQL
281,193400,30,DQL
282,186000,30,DQL
283,185000,30,DQL
284,183800,30,DQL
285,186000,30,DQL
286,186000,30,DQL
287,186000,30,DQL
288,194800,30,DQL
289,186000,30,DQL
290,185000,30,DQL
291,186000,30,DQL
292,185000,30,DQL
293,186000,30,DQL
294,186000,30,DQL
295,186000,30,DQL
296,186000,30,DQL
297,186000,30,DQL
298,186000,30,DQL
299,186000,30,DQL
300,175400,40,DQL
301,179000,40,DQL
302,179000,40,DQL
303,179000,40,DQL
304,176300,40,DQL
305,179000,40,DQL
306,139000,40,DQL
307,177500,40,DQL
308,179000,40,DQL
309,179000,40,DQL
310,177500,40,DQL
311,179000,40,DQL
312,179000,40,DQL
313,187200,40,DQL
314,179000,40,DQL
315,177500,40,DQL
316,179000,40,DQL
317,179000,40,DQL
318,179000,40,DQL
319,179000,40,DQL
320,179000,40,DQL
321,187200,40,DQL
322,176600,40,DQL
323,179000,40,DQL
324,179000,40,DQL
325,179000,40,DQL
326,135700,40,DQL
327,179000,40,DQL
328,175400,40,DQL
329,179000,40,DQL
330,179000,40,DQL
331,179000,40,DQL
332,187200,40,DQL
333,179000,40,DQL
334,179000,40,DQL
335,179000,40,DQL
336,179000,40,DQL
337,177500,40,DQL
338,178700,40,DQL
339,179000,40,DQL
340,179000,40,DQL
341,179000,40,DQL
342,177500,40,DQL
343,177500,40,DQL
344,176900,40,DQL
345,176000,40,DQL
346,179000,40,DQL
347,187200,40,DQL
348,177500,40,DQL
349,179000,40,DQL
350,179000,40,DQL
351,179000,40,DQL
352,179000,40,DQL
353,177500,40,DQL
354,187200,40,DQL
355,179000,40,DQL
356,179000,40,DQL
357,179000,40,DQL
358,179000,40,DQL
359,176600,40,DQL
360,175100,40,DQL
361,178700,40,DQL
362,187200,40,DQL
363,179000,40,DQL
364,136600,40,DQL
