,sct,nsarsa,deep
0,-111926.71555555555,-45823.502222222225,188341.48
0,-116479.31555555556,-42850.706666666665,220438.01111111112
0,-47893.38,7593.644444444444,236607.55444444445
0,-44620.80222222222,15188.775555555556,212976.06333333332
0,-36277.008888888886,18145.386666666665,251025.74777777778
0,-42661.86,33702.72666666667,258459.3722222222
0,-121692.85333333333,-30048.133333333335,195013.46777777778
0,-74255.97333333333,18183.617777777778,229371.06222222222
0,-73985.23555555556,466.6711111111111,216405.32444444444
0,-95745.36888888889,-18035.54,243636.7577777778
0,-37620.48222222222,33728.177777777775,217886.91444444444
0,-59466.97777777778,14693.84,231722.57555555555
0,-48146.89333333333,27257.086666666666,192008.01555555555
0,-99184.28444444445,-18781.977777777778,231500.71666666667
0,-114417.45777777777,-39935.48,240368.78222222222
0,-77889.62,-16067.148888888889,224774.43333333332
0,-55494.58666666667,8214.148888888889,246587.34666666668
0,-58970.39111111111,7764.913333333333,244607.81222222222
0,-98937.44,-4807.713333333333,260506.17888888888
0,-59522.96,14837.742222222223,259582.28555555554
0,-102185.67555555556,-25988.544444444444,243481.19222222222
0,-62436.375555555554,16793.6,253000.46444444446
0,-80386.36666666667,7389.793333333333,253403.42111111112
0,-95068.96888888889,-15940.74888888889,272110.8
0,-97056.72,-8175.277777777777,203532.45888888888
0,-74325.89333333333,4260.251111111111,257263.60222222222
0,-46722.653333333335,44145.88444444445,250354.97777777776
0,-50290.235555555555,11708.653333333334,269979.99333333335
0,-62749.6,14725.271111111111,253309.80777777778
0,-97810.26444444444,-10236.366666666667,230931.29
0,-108491.62444444445,-21502.068888888887,209913.64222222223
0,4663.8422222222225,60094.637777777774,231552.17666666667
0,-91319.57777777778,-13033.028888888888,206562.89222222223
0,-56851.397777777776,29224.637777777778,249248.76111111112
0,-52093.63555555556,26392.562222222223,208992.75444444444
0,-90868.28222222222,-19275.844444444443,266845.93
0,-55397.87111111111,3980.32,228241.06555555554
0,-55523.03555555556,29538.344444444443,238115.54333333333
0,-71668.20444444445,-2682.8955555555553,248074.43555555557
0,-101753.47111111111,-34135.91111111111,210182.31222222222
0,-62673.20222222222,-13870.355555555556,224388.33555555556
0,-77947.60444444444,-18785.042222222222,234177.55555555556
0,-77219.27333333333,2161.597777777778,240921.52666666667
0,-57501.76666666667,16975.362222222222,276428.2866666667
0,-103476.43111111112,-16977.124444444446,263534.7588888889
0,-67936.9,25451.522222222222,271817.75
0,-67619.61777777778,-9161.586666666666,236482.93666666668
0,-57099.055555555555,19625.057777777776,239707.2122222222
0,-55.12888888888889,59524.68,261217.54777777777
0,-76758.48888888888,12535.933333333332,242830.84444444443
0,-64137.36444444444,5650.895555555556,255365.76666666666
0,-46480.357777777775,25146.104444444445,235768.57
0,-77930.06222222222,9323.635555555555,235989.17555555556
0,-97990.3,-25376.035555555554,246698.20111111112
0,-60761.32666666667,3945.866666666667,233477.88333333333
0,-15429.773333333333,54738.76888888889,264678.2344444444
0,-80781.92888888888,5400.88,250975.1888888889
0,-36827.84444444445,30583.695555555554,203052.54333333333
0,-38488.43111111111,27998.38,267051.5211111111
0,-71626.07555555555,4224.126666666667,259547.17888888888
0,-42265.68666666667,23517.417777777777,266120.81444444443
0,-118996.6711111111,-37794.20888888889,229831.66444444444
0,-64335.497777777775,12028.722222222223,256494.66444444444
0,-102338.32666666666,-31476.762222222223,217427.37333333332
0,-68680.93555555555,-1683.7555555555555,231916.3111111111
0,-89489.55111111111,-24180.613333333335,255036.5011111111
0,-137750.4311111111,-46961.357777777775,251111.01333333334
0,-111626.86666666667,-26674.64222222222,262763.3211111111
0,-93213.22444444445,-14721.213333333333,265659.7611111111
0,-119199.24444444444,-41222.21555555556,234887.5077777778
0,-50367.57111111111,13368.595555555556,225053.28
0,-108609.49777777778,-30376.35777777778,205638.98222222223
0,-91587.13777777778,-5577.962222222222,257103.07444444444
0,-91720.78222222222,-10671.402222222223,246482.77777777778
0,-88603.68222222223,-9421.691111111111,199788.00444444444
